# traj_x; traj_y
-130.62618; -16.88309
-131.62529; -16.89797
-132.62444; -16.91351
-133.62363; -16.92996
-134.62285; -16.94705
-135.62212; -16.96438
-136.62144; -16.98174
-137.62082; -16.99906
-138.62025; -17.01635
-139.61974; -17.03353
-140.61929; -17.05048
-141.61891; -17.06731
-142.61856; -17.08456
-143.61824; -17.10298
-144.61791; -17.12346
-145.61754; -17.14692
-146.61713; -17.17366
-147.61665; -17.20327
-148.61606; -17.23519
-149.61533; -17.26875
-150.61446; -17.30332
-151.61346; -17.33889
-152.61229; -17.37604
-153.61094; -17.41526
-154.60940; -17.45644
-155.60769; -17.49895
-156.60581; -17.54230
-157.60376; -17.58660
-158.60152; -17.63213
-159.59909; -17.67867
-160.59649; -17.72578
-161.59371; -17.77345
-162.59074; -17.82182
-163.58759; -17.87068
-164.58428; -17.91970
-165.58080; -17.96873
-166.57716; -18.01775
-167.57337; -18.06675
-168.56943; -18.11573
-169.56533; -18.16472
-170.56110; -18.21368
-171.55672; -18.26257
-172.55223; -18.31119
-173.54763; -18.35954
-174.54291; -18.40799
-175.53803; -18.45723
-176.53294; -18.50813
-177.52758; -18.56163
-178.52190; -18.61822
-179.51593; -18.67764
-180.50969; -18.73940
-181.50318; -18.80348
-182.49635; -18.87052
-183.48912; -18.94138
-184.48144; -19.01667
-185.47328; -19.09632
-186.46469; -19.17982
-187.45571; -19.26651
-188.44638; -19.35602
-189.43665; -19.44865
-190.42645; -19.54510
-191.41570; -19.64619
-192.40426; -19.75286
-193.39201; -19.86618
-194.37884; -19.98677
-195.36471; -20.11457
-196.34963; -20.24914
-197.33364; -20.38993
-198.31678; -20.53622
-199.29913; -20.68721
-200.28080; -20.84196
-201.26192; -20.99943
-202.24261; -21.15867
-203.22294; -21.31935
-204.20289; -21.48175
-205.18248; -21.64575
-206.16188; -21.81072
-207.14141; -21.97609
-208.12127; -22.14153
-209.10146; -22.30700
-210.08200; -22.47251
-211.06291; -22.63807
-212.04419; -22.80370
-213.02586; -22.96940
-214.00791; -23.13517
-214.99036; -23.30101
-215.97320; -23.46692
-216.95642; -23.63291
-217.94002; -23.79897
-218.92399; -23.96510
-219.90832; -24.13130
-220.89299; -24.29757
-221.87799; -24.46390
-222.86330; -24.63029
-223.84890; -24.79674
-224.83476; -24.96324
-225.82088; -25.12979
-226.80721; -25.29637
-227.79374; -25.46300
-228.78044; -25.62965
-229.76728; -25.79632
-230.75423; -25.96301
-231.74125; -26.12971
-232.72833; -26.29641
-233.71542; -26.46310
-234.70249; -26.62978
-235.68951; -26.79641
-236.67638; -26.96297
-237.66309; -27.12949
-238.64964; -27.29596
-239.63605; -27.46239
-240.62233; -27.62879
-241.60851; -27.79515
-242.59459; -27.96148
-243.58059; -28.12776
-244.56651; -28.29401
-245.55239; -28.46021
-246.53823; -28.62637
-247.52405; -28.79245
-248.50989; -28.95835
-249.49580; -29.12386
-250.48182; -29.28893
-251.46787; -29.45394
-252.45383; -29.61960
-253.43953; -29.78674
-254.42478; -29.95635
-255.40949; -30.12899
-256.39370; -30.30454
-257.37753; -30.48252
-258.36112; -30.66232
-259.34466; -30.84317
-260.32834; -31.02421
-261.31238; -31.20443
-262.29703; -31.38275
-263.28253; -31.55796
-264.26916; -31.72880
-265.25721; -31.89388
-266.24693; -32.05171
-267.23859; -32.20074
-268.23237; -32.33967
-269.22832; -32.46792
-270.22634; -32.58546
-271.22633; -32.69245
-272.22812; -32.78919
-273.23154; -32.87616
-274.23636; -32.95399
-275.24234; -33.02342
-276.24922; -33.08533
-277.25672; -33.14073
-278.26454; -33.19075
-279.27238; -33.23660
-280.27992; -33.27961
-281.28686; -33.32121
-282.29288; -33.36287
-283.29767; -33.40619
-284.30095; -33.45279
-285.30245; -33.50436
-286.30189; -33.56263
-287.29905; -33.62937
-288.29373; -33.70641
-289.28574; -33.79555
-290.27505; -33.89799
-291.26176; -34.01404
-292.24601; -34.14383
-293.22799; -34.28733
-294.20793; -34.44434
-295.18607; -34.61454
-296.16266; -34.79748
-297.13801; -34.99261
-298.11242; -35.19925
-299.08618; -35.41660
-300.05964; -35.64377
-301.03312; -35.87974
-302.00694; -36.12341
-302.98144; -36.37351
-303.95695; -36.62870
-304.93376; -36.88750
-305.91219; -37.14834
-306.89252; -37.40951
-307.87499; -37.66922
-308.85983; -37.92555
-309.84724; -38.17654
-310.83737; -38.42010
-311.83032; -38.65411
-312.82616; -38.87640
-313.82488; -39.08473
-314.82644; -39.27688
-315.83073; -39.45061
-316.83757; -39.60366
-317.84672; -39.73381
-318.85789; -39.83886
-319.87069; -39.91661
-320.88472; -39.96485
-321.89927; -39.98137
-322.91343; -39.96407
-323.92664; -39.90906
-324.93864; -39.81354
-325.94926; -39.67788
-326.95822; -39.50030
-327.96548; -39.27681
-328.96981; -39.00383
-329.97486; -38.67866
-330.98215; -38.29536
-331.97716; -37.84791
-332.93993; -37.34345
-333.85210; -36.79314
-334.69791; -36.20674
-335.46722; -35.59577
-336.16017; -34.96361
-336.78779; -34.31194
-337.35639; -33.64884
-337.86624; -32.98308
-338.31953; -32.32230
-338.72021; -31.67296
-339.07497; -31.03646
-339.39024; -30.40955
-339.67683; -29.76544
-339.94649; -29.05441
-340.19775; -28.25099
-340.41729; -27.35616
-340.58477; -26.38224
-340.68327; -25.35158
-340.70698; -24.28893
-340.65788; -23.21772
-340.54181; -22.15244
-340.36854; -21.09884
