# delta; F_drive; F_brake; gamma_y
-0.00509; 81.61028; -0.00006; -4.34944
-0.00410; 81.51948; -0.00006; -3.36400
-0.00269; 81.45154; -0.00006; -2.45290
0.00077; 81.39444; -0.00006; -1.30591
0.02403; 82.08078; -0.00006; 3.56200
0.01846; 81.64727; -0.00006; 0.02840
-0.00443; 81.81578; -0.00006; -6.36539
-0.00347; 81.67859; -0.00006; -5.29628
-0.00034; 81.52610; -0.00006; -3.93788
0.00026; 81.49115; -0.00006; -3.48268
-0.00032; 81.48657; -0.00006; -3.36188
0.00499; 81.42004; -0.00006; -1.96883
0.00337; 81.43778; -0.00006; -2.59763
-0.00388; 81.58150; -0.00006; -4.20794
-0.00416; 81.53730; -0.00006; -3.60416
-0.00335; 81.47561; -0.00006; -2.79449
-0.00230; 81.43094; -0.00006; -2.06725
-0.00032; 81.39595; -0.00006; -1.29322
0.01361; 81.58917; -0.00006; 1.73412
0.01022; 81.45769; -0.00006; -0.30236
-0.00097; 81.50058; -0.00006; -3.51459
0.00768; 81.42695; -0.00006; -1.35838
0.01216; 81.48606; -0.00006; -0.99924
0.00143; 81.53867; -0.00006; -4.23347
-0.00590; 81.74517; -0.00006; -5.55901
-0.00550; 81.63347; -0.00006; -4.53695
-0.00425; 81.52722; -0.00006; -3.44924
-0.00302; 81.45940; -0.00006; -2.55415
-0.00106; 81.40977; -0.00006; -1.68625
0.01229; 81.53930; -0.00006; 1.31823
0.00849; 81.43160; -0.00006; -0.65863
-0.00321; 81.54071; -0.00006; -3.79675
-0.00395; 81.51868; -0.00006; -3.37820
-0.00321; 81.46459; -0.00006; -2.61947
-0.00245; 81.42825; -0.00006; -1.97783
-0.00182; 81.40682; -0.00006; -1.48015
-0.00123; 81.39391; -0.00006; -1.08521
-0.00025; 81.38441; -0.00006; -0.68828
0.00243; 81.38414; -0.00006; -0.05590
0.00259; 81.38452; -0.00006; -0.23367
0.00911; 81.46542; -0.00006; 0.91457
0.00777; 81.42469; -0.00006; -0.23862
-0.00009; 81.44037; -0.00006; -2.54612
-0.00007; 81.43076; -0.00006; -2.33764
