# path_x; path_y
-130.62048; -17.14069
-131.61940; -17.15685
-132.61837; -17.17335
-133.61738; -17.19041
-134.61644; -17.20781
-135.61555; -17.22528
-136.61473; -17.24278
-137.61396; -17.26026
-138.61324; -17.27774
-139.61259; -17.29523
-140.61199; -17.31271
-141.61146; -17.33020
-142.61098; -17.34774
-143.61055; -17.36547
-144.61013; -17.38522
-145.60970; -17.40680
-146.60906; -17.43743
-147.60839; -17.46981
-148.60765; -17.50254
-149.60680; -17.53542
-150.60583; -17.56840
-151.60474; -17.60159
-152.60350; -17.63589
-153.60190; -17.67678
-154.60013; -17.71878
-155.59821; -17.76103
-156.59613; -17.80345
-157.59389; -17.84642
-158.59136; -17.89258
-159.58865; -17.93926
-160.58577; -17.98610
-161.58271; -18.03323
-162.57941; -18.08213
-163.57591; -18.13130
-164.57224; -18.18052
-165.56840; -18.22974
-166.56438; -18.27895
-167.56019; -18.32814
-168.55583; -18.37731
-169.55131; -18.42647
-170.54663; -18.47560
-171.54179; -18.52471
-172.53681; -18.57379
-173.53169; -18.62286
-174.52644; -18.67193
-175.52106; -18.72106
-176.51555; -18.77042
-177.50985; -18.82103
-178.50354; -18.87884
-179.49702; -18.93808
-180.49029; -18.99869
-181.48292; -19.06637
-182.47533; -19.13531
-183.46758; -19.20481
-184.45963; -19.27575
-185.45083; -19.35539
-186.44104; -19.44492
-187.43094; -19.53640
-188.42065; -19.62838
-189.41017; -19.72114
-190.39900; -19.81984
-191.38762; -19.91944
-192.37605; -20.01996
-193.36395; -20.12466
-194.34956; -20.24923
-195.33432; -20.37972
-196.31867; -20.51218
-197.30267; -20.64607
-198.28627; -20.78205
-199.26958; -20.91919
-200.25275; -21.05653
-201.23583; -21.19390
-202.21887; -21.33124
-203.20190; -21.46852
-204.18495; -21.60578
-205.16805; -21.74303
-206.15130; -21.88031
-207.13494; -22.01768
-208.11910; -22.15514
-209.10378; -22.29269
-210.08898; -22.43033
-211.07472; -22.56806
-212.06099; -22.70588
-213.04780; -22.84380
-214.03514; -22.98180
-215.02299; -23.11990
-216.01136; -23.25809
-217.00023; -23.39637
-217.98958; -23.53474
-218.97939; -23.67318
-219.96964; -23.81171
-220.96032; -23.95032
-221.95138; -24.08900
-222.94282; -24.22774
-223.93459; -24.36655
-224.92666; -24.50542
-225.91902; -24.64433
-226.91161; -24.78329
-227.90440; -24.92228
-228.89737; -25.06130
-229.89046; -25.20035
-230.88364; -25.33941
-231.87688; -25.47847
-232.87012; -25.61753
