# delta; F_drive; F_brake; gamma_y
0.00034; 81.37992; -0.00001; -0.32786
0.00063; 81.38028; -0.00001; -0.28645
0.00094; 81.38120; -0.00001; -0.35233
0.00110; 81.38180; -0.00001; -0.53028
0.00087; 81.38173; -0.00001; -0.78248
-0.00003; 81.38444; -0.00001; -1.02931
-0.00190; 81.40309; -0.00001; -1.13744
-0.00565; 81.49225; -0.00001; -1.06513
-0.18000; 184.26776; -0.00000; -49.91688
-0.18835; 158.84429; -0.00001; 10.61746
-0.18051; 142.00661; -0.00001; 64.01285
-0.17304; 140.05452; -0.00001; 98.79487
-0.13118; 140.92227; -0.00001; 131.23627
-0.10678; 139.63461; -0.00001; 137.57327
-0.11255; 129.75207; -0.00001; 129.16979
-0.12023; 127.12405; -0.00001; 125.95402
-0.04536; 157.77049; -0.00001; 151.55172
-0.11473; 113.51983; -0.00001; 109.37315
-0.07795; 127.61606; -0.00001; 128.71449
-0.09031; 116.82941; -0.00001; 116.31918
-0.13297; 115.09437; -0.00001; 101.44499
-0.10479; 125.58879; -0.00001; 124.69889
-0.13176; 122.00053; -0.00001; 114.84077
-0.11667; 129.42247; -0.00001; 128.76614
-0.14178; 128.13014; -0.00001; 121.82847
-0.13360; 135.59510; -0.00001; 134.37074
-0.05824; 166.08552; -0.00000; 160.30622
-0.07181; 133.58126; -0.00001; 136.13066
-0.10425; 116.00741; -0.00001; 116.13256
-0.11092; 118.82342; -0.00001; 117.44080
-0.05005; 142.16389; -0.00001; 138.73783
-0.06810; 116.28090; -0.00001; 115.35037
-0.03610; 123.54999; -0.00001; 117.44712
-0.06611; 101.47291; -0.00001; 92.48733
-0.10244; 100.91068; -0.00001; 80.91789
-0.14185; 114.39919; -0.00001; 81.44329
-0.14312; 122.65834; -0.00001; 103.30806
-0.13113; 128.64523; -0.00001; 121.02755
-0.14880; 131.27536; -0.00001; 120.57004
-0.02493; 189.17692; -0.00000; 169.06123
0.13809; 291.65018; -0.00000; 173.11070
0.25781; 350.81728; -0.00000; 146.49252
0.08712; 137.88831; -0.00001; 75.33537
0.05048; 95.81395; -0.00001; 29.58707
0.03520; 86.06498; -0.00001; 7.82229
0.02118; 82.66788; -0.00001; -4.55211
0.01030; 81.91545; -0.00001; -9.40337
0.00303; 81.78664; -0.00001; -9.63179
-0.00094; 81.67720; -0.00001; -7.60871
-0.00251; 81.54895; -0.00001; -5.00591
-0.00271; 81.45603; -0.00001; -2.73778
-0.00241; 81.41025; -0.00001; -1.12806
-0.00192; 81.39119; -0.00001; -0.09078
-0.00155; 81.38527; -0.00001; 0.48816
-0.00140; 81.38398; -0.00001; 0.77247
-0.00133; 81.38370; -0.00001; 0.95396
-0.00107; 81.38364; -0.00001; 1.13165
-0.00024; 81.38616; -0.00001; 1.33131
0.00194; 81.41134; -0.00001; 1.57189
0.00899; 81.69195; -0.00001; 2.38241
0.05140; 90.50481; -0.00001; 10.77350
0.15673; 150.44089; -0.00001; 25.20391
0.22635; 191.86673; -0.00000; -0.53293
0.20794; 160.57224; -0.00001; -66.03066
0.24128; 182.61506; -0.00000; -90.19819
0.18853; 172.07097; -0.00000; -148.13986
0.17670; 172.51495; -0.00000; -159.25363
0.20800; 172.93476; -0.00000; -151.26567
0.23059; 186.76709; -0.00000; -157.71216
0.24634; 203.67808; -0.00000; -170.21886
0.09357; 294.44030; -0.00000; -236.27433
0.23622; 195.03294; -0.00000; -173.53990
0.23031; 215.62855; -0.00000; -193.61495
0.09560; 307.76656; -0.00000; -242.63919
0.25043; 204.93377; -0.00000; -180.28260
0.26179; 229.42142; -0.00000; -195.71059
0.18354; 283.65818; -0.00000; -237.80958
0.21130; 256.28361; -0.00000; -224.59749
0.19175; 269.15862; -0.00000; -232.43699
0.04254; 384.98780; -0.00000; -261.14370
0.18127; 234.23142; -0.00000; -217.66123
0.19206; 230.80975; -0.00000; -214.65612
0.03904; 351.32785; -0.00000; -250.56301
0.12717; 236.33202; -0.00000; -218.15305
0.14310; 213.39133; -0.00000; -206.61808
0.09350; 239.85800; -0.00000; -215.95210
0.07410; 230.20978; -0.00000; -208.64282
0.09202; 191.99370; -0.00000; -189.93547
-0.05477; 298.03911; -0.00000; -208.90395
0.10343; 134.86784; -0.00001; -146.82060
0.16227; 130.97714; -0.00001; -127.92466
0.02860; 207.72294; -0.00000; -184.29561
0.07612; 140.87708; -0.00001; -146.33101
0.08827; 127.25325; -0.00001; -132.86512
0.06764; 131.80983; -0.00001; -134.24827
0.07672; 119.01560; -0.00001; -120.61771
0.08620; 113.42114; -0.00001; -112.42845
0.03234; 133.20745; -0.00001; -126.09929
0.07279; 102.69676; -0.00001; -95.13979
0.02987; 116.95387; -0.00001; -106.60266
0.04434; 99.76609; -0.00001; -85.72211
0.05462; 95.00435; -0.00001; -76.26550
0.02066; 103.54411; -0.00001; -83.51339
0.03432; 91.52263; -0.00001; -64.93028
0.02745; 91.28105; -0.00001; -61.62481
0.01478; 91.46167; -0.00001; -57.76281
0.02194; 86.39085; -0.00001; -45.81177
0.02651; 85.08315; -0.00001; -40.57423
-0.01172; 93.13419; -0.00001; -47.99015
-0.01994; 88.76939; -0.00001; -32.48033
-0.01892; 84.61780; -0.00001; -17.58453
-0.01470; 82.50096; -0.00001; -7.01708
-0.00997; 81.70456; -0.00001; -0.69775
-0.00546; 81.47213; -0.00001; 2.51640
-0.00231; 81.43331; -0.00001; 3.40370
-0.00037; 81.42279; -0.00001; 3.10453
0.00061; 81.40904; -0.00001; 2.31279
0.00095; 81.39569; -0.00001; 1.46426
0.00094; 81.38675; -0.00001; 0.76010
0.00072; 81.38198; -0.00001; 0.25391
0.00045; 81.38024; -0.00001; -0.04283
0.00023; 81.37985; -0.00001; -0.16861
0.00007; 81.37980; -0.00001; -0.18880
-0.00001; 81.37977; -0.00001; -0.15626
-0.00005; 81.37972; -0.00001; -0.10650
-0.00006; 81.37968; -0.00001; -0.05980
-0.00005; 81.37966; -0.00001; -0.02493
-0.00003; 81.37965; -0.00001; -0.00329
-0.00002; 81.37965; -0.00001; 0.00743
-0.00001; 81.37964; -0.00001; 0.01072
-0.00000; 81.37964; -0.00001; 0.00985
0.00000; 81.37964; -0.00001; 0.00725
0.00000; 81.37964; -0.00001; 0.00443
0.00000; 81.37964; -0.00001; 0.00213
0.00000; 81.37964; -0.00001; 0.00059
0.00000; 81.37964; -0.00001; -0.00026
0.00000; 81.37964; -0.00001; -0.00061
0.00000; 81.37964; -0.00001; -0.00064
-0.00000; 81.37964; -0.00001; -0.00051
-0.00000; 81.37964; -0.00001; -0.00035
-0.00000; 81.37964; -0.00001; -0.00020
-0.00000; 81.37964; -0.00001; -0.00009
-0.00000; 81.37964; -0.00001; -0.00002
-0.00000; 81.37964; -0.00001; 0.00002
-0.00000; 81.37964; -0.00001; 0.00003
-0.00000; 81.37964; -0.00001; 0.00003
0.00000; 81.37964; -0.00001; 0.00002
0.00000; 81.37964; -0.00001; 0.00001
-0.00000; 81.37964; -0.00001; 0.00001
-0.00000; 81.37964; -0.00001; 0.00001
-0.00000; 81.37964; -0.00001; 0.00001
-0.00000; 81.37964; -0.00001; 0.00001
-0.00000; 81.37964; -0.00001; 0.00001
-0.00000; 81.37964; -0.00001; 0.00002
