# inner_x; inner_y
-3.29475; -2.47801
2.65279; 2.95545
2.00793; 2.65977
2.92496; 2.28871
3.81641; 2.01060
4.79207; 1.80253
5.77466; 1.68346
6.77019; 1.56748
7.77358; 1.47514
8.78254; 1.40179
9.79795; 1.30811
10.81814; 1.23571
11.83158; 1.19363
12.83443; 1.16871
13.83242; 1.17757
14.82867; 1.17876
15.82345; 1.19614
16.81820; 1.20359
17.81319; 1.22193
18.80889; 1.26722
19.80766; 1.30609
20.81168; 1.31611
21.81885; 1.32998
22.82703; 1.36035
23.83755; 1.35693
24.84919; 1.33682
25.85974; 1.34862
26.86967; 1.33461
27.87676; 1.34132
28.88065; 1.34230
29.88026; 1.33667
30.87489; 1.30881
31.86350; 1.30143
32.84845; 1.28005
33.83025; 1.27056
34.81100; 1.24754
35.79162; 1.22981
36.77339; 1.22444
37.75811; 1.21986
38.74750; 1.21455
39.74622; 1.14949
40.75450; 1.11251
41.76865; 1.04741
42.78511; 0.92983
43.80272; 0.85605
44.82089; 0.76724
45.83611; 0.70140
46.84573; 0.67329
47.83992; 0.64999
48.80439; 0.65515
49.75067; 0.71092
50.69376; 0.78164
51.60940; 0.98187
52.50723; 1.08043
53.39227; 1.10010
54.22820; 1.30479
55.04882; 1.46205
55.85408; 1.60717
56.63134; 1.79474
57.38823; 2.01027
58.07495; 2.31220
58.71063; 2.54856
59.26791; 2.87267
59.80235; 3.23522
60.34611; 3.62433
60.90000; 4.08826
61.40712; 4.64403
61.89241; 5.22293
62.34169; 5.83501
62.74164; 6.48386
63.12671; 7.14431
63.53614; 7.79555
63.80630; 8.50700
63.95489; 9.26073
64.04181; 10.03404
64.10116; 10.80893
64.17255; 11.57788
64.21305; 12.35565
64.22018; 13.14448
64.13851; 13.94715
64.00476; 14.75610
63.83853; 15.56857
63.61073; 16.37850
63.36071; 17.18714
63.11973; 18.00468
62.82613; 18.82491
62.51924; 19.65748
62.21516; 20.51109
61.89942; 21.38731
61.56550; 22.28905
61.21873; 23.22286
60.84955; 24.19301
60.48327; 25.21502
60.11921; 26.30668
59.79729; 27.40957
59.47812; 28.41215
59.17433; 29.35741
58.88283; 30.30990
58.60652; 31.26795
58.31016; 32.22412
58.03453; 33.18573
57.78894; 34.15402
