# delta; F_drive; F_brake; gamma_y
0.12425; 283.86877; -0.00000; 119.93991
0.13361; 280.91250; -0.00000; 118.84668
0.14472; 278.10925; -0.00000; 117.59605
0.15848; 275.79424; -0.00000; 116.16275
0.17680; 274.66886; -0.00000; 114.50934
0.20432; 276.44022; -0.00000; 112.56022
0.25524; 286.15079; -0.00000; 110.04730
0.26178; 279.32938; -0.00000; 107.62274
0.15829; 230.36649; -0.00000; 104.79157
-0.01088; 152.24345; -0.00001; 90.57745
-0.17914; 116.46032; -0.00001; 50.88098
-0.26180; 137.94889; -0.00001; 38.91568
-0.26180; 143.89012; -0.00001; 57.58978
-0.26180; 154.34910; -0.00001; 73.07243
-0.19481; 179.17014; -0.00000; 100.46821
-0.03917; 248.80554; -0.00000; 121.02231
0.04208; 283.81308; -0.00000; 123.97720
0.05932; 290.90563; -0.00000; 124.28102
0.07202; 295.45761; -0.00000; 124.37378
0.07740; 296.52696; -0.00000; 124.28818
0.08128; 296.45450; -0.00000; 124.10737
0.08486; 295.70078; -0.00000; 123.84139
0.08854; 294.41506; -0.00000; 123.48924
0.09251; 292.66037; -0.00000; 123.04611
0.09688; 290.46855; -0.00000; 122.50481
0.10171; 287.85780; -0.00000; 121.85579
0.10707; 284.83838; -0.00000; 121.08643
0.11300; 281.41401; -0.00000; 120.18005
0.11956; 277.58327; -0.00000; 119.11525
0.12682; 273.34251; -0.00000; 117.86536
0.13484; 268.68957; -0.00000; 116.39785
0.14370; 263.62743; -0.00000; 114.67334
0.15347; 258.16670; -0.00000; 112.64381
0.16425; 252.32785; -0.00000; 110.25017
0.17613; 246.14494; -0.00000; 107.41974
0.18925; 239.67216; -0.00000; 104.06358
0.20375; 232.99395; -0.00000; 100.07418
0.21981; 226.23999; -0.00000; 95.32470
0.23766; 219.60584; -0.00000; 89.67144
0.25749; 213.35930; -0.00000; 82.96228
0.26177; 200.92788; -0.00000; 74.90481
0.26178; 186.97864; -0.00000; 65.31998
0.26178; 173.66994; -0.00000; 54.07955
0.26177; 161.57989; -0.00001; 41.03535
0.19877; 124.46532; -0.00001; 17.96189
0.00987; 96.81229; -0.00001; -44.95422
-0.07062; 116.55636; -0.00001; -55.68982
-0.03390; 95.43831; -0.00001; -37.59837
-0.02817; 89.72181; -0.00001; -28.64943
-0.02222; 85.95782; -0.00001; -20.99024
-0.01725; 83.78488; -0.00001; -14.98968
-0.01311; 82.58638; -0.00001; -10.42563
-0.00973; 81.95546; -0.00001; -7.04689
-0.00704; 81.63978; -0.00001; -4.61341
-0.00498; 81.49067; -0.00001; -2.91310
-0.00347; 81.42467; -0.00001; -1.76489
-0.00240; 81.39684; -0.00001; -1.00554
-0.00157; 81.38530; -0.00001; -0.49739
-0.00094; 81.38110; -0.00001; -0.17253
-0.00054; 81.37999; -0.00001; 0.00467
-0.00028; 81.37979; -0.00001; 0.08994
-0.00013; 81.37978; -0.00001; 0.12352
-0.00003; 81.37978; -0.00001; 0.12806
0.00002; 81.37976; -0.00001; 0.11738
0.00004; 81.37973; -0.00001; 0.09999
0.00005; 81.37970; -0.00001; 0.08094
0.00005; 81.37968; -0.00001; 0.06297
0.00004; 81.37967; -0.00001; 0.04735
0.00003; 81.37966; -0.00001; 0.03450
0.00003; 81.37965; -0.00001; 0.02433
0.00002; 81.37965; -0.00001; 0.01654
0.00001; 81.37965; -0.00001; 0.01073
0.00000; 81.37965; -0.00001; 0.00652
-0.00001; 81.37964; -0.00001; 0.00360
-0.00002; 81.37965; -0.00001; 0.00173
-0.00003; 81.37965; -0.00001; 0.00079
-0.00005; 81.37965; -0.00001; 0.00078
-0.00008; 81.37965; -0.00001; 0.00187
-0.00011; 81.37966; -0.00001; 0.00437
-0.00015; 81.37967; -0.00001; 0.00882
-0.00019; 81.37968; -0.00001; 0.01603
-0.00024; 81.37970; -0.00001; 0.02707
-0.00029; 81.37972; -0.00001; 0.04341
-0.00033; 81.37975; -0.00001; 0.06686
-0.00033; 81.37977; -0.00001; 0.09961
-0.00027; 81.37980; -0.00001; 0.14406
-0.00010; 81.37992; -0.00001; 0.20248
0.00027; 81.38043; -0.00001; 0.27634
0.00094; 81.38219; -0.00001; 0.36538
