# outer_x; outer_y
4.24482; 1.44690
-0.00369; -5.11877
2.39057; -5.83162
3.25256; -6.20498
4.20243; -6.48063
5.11928; -6.69117
6.07150; -6.81135
7.04890; -6.92795
8.04479; -7.02053
9.05197; -7.09394
10.06247; -7.18777
11.06551; -7.26069
12.06508; -7.30317
13.06663; -7.32812
14.06526; -7.31924
15.06186; -7.31805
16.05658; -7.30066
17.05115; -7.29322
18.04591; -7.27489
19.04124; -7.22960
20.03837; -7.19078
21.03806; -7.18088
22.04144; -7.16711
23.04843; -7.13677
24.05836; -7.14020
25.06958; -7.16032
26.07987; -7.14853
27.08977; -7.16254
28.09714; -7.15582
29.10175; -7.15483
30.10277; -7.16041
31.09979; -7.18821
32.09081; -7.19553
33.07749; -7.21686
34.06062; -7.22632
35.04215; -7.24932
36.02281; -7.26704
37.00362; -7.27244
37.98611; -7.27708
38.97136; -7.28250
39.96053; -7.34781
40.95152; -7.38520
41.95192; -7.45061
42.96391; -7.56829
43.98200; -7.64205
45.00669; -7.73073
46.03732; -7.79622
47.07308; -7.82367
48.12300; -7.84529
49.19745; -7.83576
50.27789; -7.77272
51.34904; -7.69306
52.41156; -7.48019
53.49256; -7.36227
54.59460; -7.31443
55.67940; -7.07042
56.77778; -6.86025
57.88711; -6.64612
58.99812; -6.36910
60.11093; -6.04186
61.22499; -5.58256
62.42499; -5.09693
63.60691; -4.43644
64.75147; -3.67536
65.84663; -2.85597
66.84307; -1.98874
67.72214; -1.04547
68.54620; -0.06641
69.29925; 0.95214
69.96881; 2.00970
70.59075; 3.07760
71.20938; 4.13887
71.66795; 5.27521
71.97866; 6.45552
72.19868; 7.64334
72.36848; 8.83370
72.52918; 10.02331
72.63732; 11.22353
72.69020; 12.43121
72.63307; 13.64327
72.50428; 14.84644
72.32580; 16.03370
72.07115; 17.19784
71.78274; 18.33580
71.49571; 19.45142
71.15234; 20.53496
70.79621; 21.59186
70.44804; 22.62524
70.09818; 23.63014
69.74482; 24.60176
69.39747; 25.53764
69.05002; 26.42959
68.72923; 27.27758
68.43550; 28.06432
68.17315; 28.85699
67.87246; 29.74823
67.56704; 30.70367
67.27491; 31.66011
66.99831; 32.61988
66.70153; 33.57872
66.42558; 34.54229
66.17974; 35.51217
65.94287; 36.48796
65.71582; 37.47121
65.49367; 38.44888
65.27409; 39.41414
65.06766; 40.37155
64.84475; 41.31388
64.62337; 42.24173
64.41323; 43.15428
64.23865; 44.05296
64.07675; 44.93541
63.95081; 45.80474
63.87134; 46.66244
63.82407; 47.50964
63.78257; 48.34857
63.78874; 49.14507
63.88458; 49.85259
63.95807; 50.52073
64.10522; 51.15946
64.31766; 51.76628
64.60822; 52.35915
64.93032; 52.97898
65.34526; 53.55596
65.85441; 54.06751
66.39295; 54.56619
66.97769; 55.02228
67.57880; 55.46305
68.25272; 55.82035
68.95841; 56.13305
69.64515; 56.47971
70.35247; 56.80247
71.06504; 57.13144
71.80104; 57.42058
72.52174; 57.74063
73.25718; 58.00107
73.99366; 58.28211
74.75722; 58.47474
75.54082; 58.57890
76.33384; 58.67551
77.14152; 58.74454
77.96565; 58.78147
78.80589; 58.74377
79.66498; 58.66832
80.54772; 58.60074
81.41280; 58.55789
82.17155; 58.42348
82.84059; 58.26661
83.47986; 58.10625
84.09380; 57.87932
84.71402; 57.59251
85.34837; 57.24786
85.96591; 56.85266
86.52427; 56.38584
87.03281; 55.85439
87.50336; 55.27176
87.93528; 54.65498
88.29685; 53.98596
88.62075; 53.29476
88.90175; 52.57824
89.10798; 51.82238
89.28028; 51.05455
89.42024; 50.27859
89.51144; 49.49587
89.58232; 48.71585
89.59769; 47.92283
89.58975; 47.12430
89.56561; 46.31839
89.55002; 45.50311
89.53471; 44.67230
89.52035; 43.82225
89.48292; 42.95094
89.39513; 42.05959
89.31780; 41.14126
89.22127; 40.19312
89.11495; 39.21963
89.00461; 38.21854
88.91057; 37.17543
88.81466; 36.08561
88.74888; 34.93291
88.71086; 33.77301
88.67944; 32.71110
88.66996; 31.71979
88.64400; 30.72485
88.62002; 29.72691
88.57589; 28.72977
88.53764; 27.73141
88.49652; 26.73271
88.48487; 25.73433
88.48442; 24.73588
88.46885; 23.73677
88.45401; 22.73742
88.44111; 21.73789
88.42605; 20.73804
88.42428; 19.73820
88.40889; 18.73779
88.37159; 17.73666
88.35125; 16.73573
88.34468; 15.73495
88.32793; 14.73378
88.32005; 13.73267
88.32054; 12.73163
88.31372; 11.73027
88.29919; 10.72828
88.29230; 9.72583
88.27496; 8.72335
88.24588; 7.72117
88.22813; 6.71940
88.22506; 5.71806
88.23331; 4.71710
88.23633; 3.71616
88.24017; 2.71544
88.23423; 1.71472
88.22551; 0.71422
88.17398; -0.28697
88.20638; -1.28580
88.22845; -2.28447
88.21915; -3.28340
88.20541; -4.28194
88.22302; -5.27922
88.23099; -6.27619
88.17114; -7.27420
88.10575; -8.27144
88.05035; -9.26467
87.99347; -10.25355
87.94500; -11.24625
87.89685; -12.24567
87.87554; -13.24846
87.82437; -14.25747
87.78319; -15.27412
87.73023; -16.30203
87.69508; -17.34332
87.65239; -18.40312
87.65940; -19.48171
87.69251; -20.58498
87.76358; -21.70158
87.90463; -22.84464
88.11838; -24.05516
88.40294; -25.26644
88.76609; -26.44734
89.21577; -27.65856
89.75667; -28.87205
90.36183; -30.02776
91.01169; -31.08813
91.71953; -32.06246
92.48674; -32.97642
93.31389; -33.82615
94.19941; -34.62157
95.13505; -35.36760
96.11568; -36.06235
97.13536; -36.70279
98.18332; -37.29186
99.26786; -37.80232
100.36817; -38.24929
101.46349; -38.65935
102.55605; -39.02350
103.65603; -39.29755
104.73402; -39.53253
105.79466; -39.72030
106.81620; -39.91559
107.81557; -40.06329
108.77974; -40.18949
109.68793; -40.32469
110.54529; -40.47526
111.42390; -40.64178
112.36442; -40.82900
113.33109; -41.03017
114.29031; -41.25709
115.24404; -41.49198
116.16913; -41.77350
117.07554; -42.07129
117.95034; -42.40323
118.80513; -42.74092
119.63353; -43.09547
120.42340; -43.49225
121.18380; -43.91079
121.91682; -44.36301
122.61820; -44.80680
123.27391; -45.28434
123.91656; -45.82602
124.48219; -46.35524
124.95201; -46.84559
125.37361; -47.34682
125.74458; -47.86505
126.08536; -48.40804
126.40506; -49.01737
126.67972; -49.69361
126.89401; -50.40621
127.06489; -51.13778
127.18937; -51.88470
127.26959; -52.64338
127.28351; -53.41184
127.24100; -54.18350
127.05794; -54.94771
126.83876; -55.69340
126.51086; -56.39181
126.16831; -57.06311
125.76881; -57.71767
125.33555; -58.35771
124.86505; -58.98271
124.36163; -59.59833
123.91197; -60.25373
123.40533; -60.89667
122.89085; -61.55190
122.36659; -62.22329
121.84991; -62.92339
121.37504; -63.66085
120.87216; -64.37901
120.39070; -65.13860
119.91610; -65.94636
119.41189; -66.77790
118.85821; -67.60612
118.32751; -68.50914
117.74220; -69.42615
117.12334; -70.38693
116.48020; -71.35086
115.88934; -72.25944
115.30949; -73.05920
114.77503; -73.82982
114.22048; -74.53402
