# delta; F_drive; F_brake; gamma_y
0.00002; 81.37970; -0.00006; 0.02006
0.00002; 81.37970; -0.00006; 0.01500
0.00001; 81.37970; -0.00006; 0.01123
0.00001; 81.37969; -0.00006; 0.00841
0.00001; 81.37969; -0.00006; 0.00630
0.00001; 81.37969; -0.00006; 0.00473
0.00000; 81.37969; -0.00006; 0.00356
0.00000; 81.37969; -0.00006; 0.00269
0.00000; 81.37969; -0.00006; 0.00203
0.00000; 81.37969; -0.00006; 0.00154
0.00000; 81.37969; -0.00006; 0.00118
0.00000; 81.37969; -0.00006; 0.00091
0.00000; 81.37969; -0.00006; 0.00071
0.00000; 81.37969; -0.00006; 0.00055
0.00000; 81.37969; -0.00006; 0.00044
0.00000; 81.37969; -0.00006; 0.00036
0.00000; 81.37969; -0.00006; 0.00029
0.00000; 81.37969; -0.00006; 0.00025
0.00000; 81.37969; -0.00006; 0.00021
0.00000; 81.37969; -0.00006; 0.00018
-0.00000; 81.37969; -0.00006; 0.00016
-0.00000; 81.37969; -0.00006; 0.00015
-0.00000; 81.37969; -0.00006; 0.00014
-0.00000; 81.37969; -0.00006; 0.00013
-0.00000; 81.37969; -0.00006; 0.00012
-0.00000; 81.37969; -0.00006; 0.00012
-0.00000; 81.37969; -0.00006; 0.00011
-0.00000; 81.37969; -0.00006; 0.00011
-0.00000; 81.37969; -0.00006; 0.00011
-0.00000; 81.37969; -0.00006; 0.00010
-0.00000; 81.37969; -0.00006; 0.00010
-0.00000; 81.37969; -0.00006; 0.00009
-0.00000; 81.37969; -0.00006; 0.00009
-0.00000; 81.37969; -0.00006; 0.00009
-0.00000; 81.37969; -0.00006; 0.00009
-0.00000; 81.37969; -0.00006; 0.00008
-0.00000; 81.37969; -0.00006; 0.00008
-0.00000; 81.37969; -0.00006; 0.00008
-0.00000; 81.37969; -0.00006; 0.00007
-0.00000; 81.37969; -0.00006; 0.00007
-0.00000; 81.37969; -0.00006; 0.00007
-0.00000; 81.37969; -0.00006; 0.00006
-0.00000; 81.37969; -0.00006; 0.00006
-0.00000; 81.37969; -0.00006; 0.00006
-0.00000; 81.37969; -0.00006; 0.00005
-0.00000; 81.37969; -0.00006; 0.00005
0.00000; 81.37969; -0.00006; 0.00005
0.00000; 81.37969; -0.00006; 0.00004
0.00000; 81.37969; -0.00006; 0.00004
0.00000; 81.37969; -0.00006; 0.00004
0.00000; 81.37969; -0.00006; 0.00004
0.00000; 81.37969; -0.00006; 0.00003
0.00000; 81.37969; -0.00006; 0.00003
0.00000; 81.37969; -0.00006; 0.00003
0.00000; 81.37969; -0.00006; 0.00002
0.00000; 81.37969; -0.00006; 0.00002
0.00000; 81.37969; -0.00006; 0.00002
0.00000; 81.37969; -0.00006; 0.00002
0.00000; 81.37969; -0.00006; 0.00001
0.00000; 81.37969; -0.00006; 0.00001
0.00000; 81.37969; -0.00006; 0.00001
0.00000; 81.37969; -0.00006; 0.00001
0.00000; 81.37969; -0.00006; 0.00001
0.00000; 81.37969; -0.00006; 0.00000
0.00000; 81.37969; -0.00006; 0.00000
0.00000; 81.37969; -0.00006; 0.00000
0.00000; 81.37969; -0.00006; -0.00000
0.00000; 81.37969; -0.00006; -0.00000
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00002
0.00000; 81.37969; -0.00006; -0.00002
0.00000; 81.37969; -0.00006; -0.00002
0.00000; 81.37969; -0.00006; -0.00002
0.00000; 81.37969; -0.00006; -0.00002
0.00000; 81.37969; -0.00006; -0.00003
0.00000; 81.37969; -0.00006; -0.00003
0.00000; 81.37969; -0.00006; -0.00003
0.00000; 81.37969; -0.00006; -0.00004
0.00000; 81.37969; -0.00006; -0.00004
0.00000; 81.37969; -0.00006; -0.00004
0.00000; 81.37969; -0.00006; -0.00004
0.00000; 81.37969; -0.00006; -0.00005
0.00000; 81.37969; -0.00006; -0.00005
0.00000; 81.37969; -0.00006; -0.00005
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00007
-0.00000; 81.37969; -0.00006; -0.00008
-0.00000; 81.37969; -0.00006; -0.00008
-0.00000; 81.37969; -0.00006; -0.00008
-0.00000; 81.37969; -0.00006; -0.00009
-0.00000; 81.37969; -0.00006; -0.00008
-0.00000; 81.37969; -0.00006; -0.00006
-0.00000; 81.37969; -0.00006; -0.00007
-0.00000; 81.37969; -0.00006; -0.00008
-0.00000; 81.37969; -0.00006; -0.00005
-0.00000; 81.37969; -0.00006; -0.00012
-0.00000; 81.37969; -0.00006; 0.00003
-0.00000; 81.37969; -0.00006; 0.00031
-0.00001; 81.37969; -0.00006; 0.00001
-0.00001; 81.37969; -0.00006; 0.00001
-0.00001; 81.37969; -0.00006; 0.00064
0.00002; 81.37970; -0.00006; 0.00895
0.00123; 81.38198; -0.00006; 0.25763
0.00912; 81.49923; -0.00006; 1.77447
0.00739; 81.42996; -0.00006; 0.47284
-0.00176; 81.42972; -0.00006; -2.12095
-0.00214; 81.42257; -0.00006; -1.88427
-0.00180; 81.40667; -0.00006; -1.47868
-0.00140; 81.39543; -0.00006; -1.12459
-0.00106; 81.38861; -0.00006; -0.84508
-0.00079; 81.38464; -0.00006; -0.62996
-0.00059; 81.38244; -0.00006; -0.46955
-0.00044; 81.38123; -0.00006; -0.35099
-0.00032; 81.38055; -0.00006; -0.26210
-0.00024; 81.38017; -0.00006; -0.19626
-0.00018; 81.37996; -0.00006; -0.14646
-0.00013; 81.37984; -0.00006; -0.10970
-0.00010; 81.37978; -0.00006; -0.08370
-0.00008; 81.37974; -0.00006; -0.06399
-0.00005; 81.37972; -0.00006; -0.04686
-0.00002; 81.37971; -0.00006; -0.03312
-0.00001; 81.37970; -0.00006; -0.02519
-0.00001; 81.37970; -0.00006; -0.02383
-0.00002; 81.37970; -0.00006; -0.02295
-0.00002; 81.37970; -0.00006; -0.01805
-0.00001; 81.37970; -0.00006; -0.01384
-0.00001; 81.37970; -0.00006; -0.01195
-0.00001; 81.37970; -0.00006; -0.00993
-0.00001; 81.37969; -0.00006; -0.00814
-0.00001; 81.37969; -0.00006; -0.00694
-0.00000; 81.37969; -0.00006; -0.00449
-0.00000; 81.37969; -0.00006; -0.00434
-0.00001; 81.37969; -0.00006; -0.00560
-0.00001; 81.37969; -0.00006; -0.00487
-0.00002; 81.37969; -0.00006; -0.00397
-0.00000; 81.37969; -0.00006; 0.00151
0.00069; 81.38042; -0.00006; 0.14559
0.00629; 81.43712; -0.00006; 1.24051
0.00503; 81.40313; -0.00006; 0.32807
-0.00131; 81.40397; -0.00006; -1.46431
-0.00152; 81.39970; -0.00006; -1.27861
-0.00123; 81.39181; -0.00006; -0.98668
-0.00092; 81.38649; -0.00006; -0.73895
-0.00048; 81.38265; -0.00006; -0.50831
-0.00034; 81.38146; -0.00006; -0.39799
-0.00047; 81.38138; -0.00006; -0.36616
-0.00040; 81.38073; -0.00006; -0.28112
-0.00018; 81.38007; -0.00006; -0.17888
0.00258; 81.38834; -0.00006; 0.42649
0.00623; 81.42696; -0.00006; 0.92396
0.03129; 82.68727; -0.00006; 5.49202
0.02430; 81.88335; -0.00006; 0.90841
-0.00630; 82.03200; -0.00006; -7.66127
-0.00822; 81.96758; -0.00006; -6.92883
-0.00659; 81.73421; -0.00006; -5.34659
-0.00464; 81.57057; -0.00006; -3.95625
-0.00125; 81.44584; -0.00006; -2.54047
0.01879; 81.74698; -0.00006; 1.93503
0.01344; 81.50983; -0.00006; -0.97994
-0.00508; 81.77597; -0.00006; -5.94786
-0.00605; 81.71382; -0.00006; -5.24959
-0.00350; 81.54346; -0.00006; -3.79060
0.00576; 81.40929; -0.00006; -1.26360
0.00463; 81.41681; -0.00006; -1.91428
-0.00364; 81.55333; -0.00006; -3.89787
-0.00317; 81.49752; -0.00006; -3.18424
0.00178; 81.40235; -0.00006; -1.62890
0.00147; 81.40522; -0.00006; -1.72845
-0.00260; 81.45698; -0.00006; -2.57435
-0.00255; 81.43578; -0.00006; -2.13883
-0.00202; 81.41307; -0.00006; -1.64087
-0.00156; 81.39889; -0.00006; -1.24045
-0.00118; 81.39055; -0.00006; -0.93077
-0.00090; 81.38578; -0.00006; -0.69539
-0.00067; 81.38306; -0.00006; -0.51640
-0.00049; 81.38151; -0.00006; -0.38000
-0.00038; 81.38073; -0.00006; -0.28519
-0.00032; 81.38033; -0.00006; -0.21880
-0.00026; 81.38006; -0.00006; -0.16182
-0.00020; 81.37988; -0.00006; -0.11241
0.00001; 81.37971; -0.00006; -0.04251
0.00341; 81.39647; -0.00006; 0.66797
0.02248; 82.09290; -0.00006; 4.28117
0.01844; 81.69113; -0.00006; 1.15482
-0.00088; 81.58211; -0.00006; -4.58429
0.01620; 81.57381; -0.00006; -0.59193
0.01241; 81.51836; -0.00006; -2.76624
-0.00685; 82.04273; -0.00006; -7.65379
-0.00438; 81.76656; -0.00006; -5.96811
0.01756; 81.60898; -0.00006; -0.55576
0.04252; 83.07933; -0.00006; 3.12323
0.01624; 81.79518; -0.00006; -6.27543
-0.01345; 83.45706; -0.00006; -13.34294
-0.01165; 82.77955; -0.00006; -10.86101
0.00439; 81.66165; -0.00006; -5.73228
0.00373; 81.67219; -0.00006; -5.81974
-0.00767; 82.12782; -0.00006; -8.07254
0.00061; 81.61533; -0.00006; -5.08064
0.07310; 87.47794; -0.00006; 10.06496
0.05063; 83.29420; -0.00006; -1.19191
-0.01765; 85.72222; -0.00006; -19.53166
-0.01429; 84.30525; -0.00006; -16.07309
0.03109; 82.10239; -0.00006; -4.33164
0.02586; 82.15975; -0.00006; -7.81502
-0.00962; 84.33326; -0.00006; -16.77510
-0.01242; 83.99093; -0.00006; -15.33954
-0.01711; 83.84260; -0.00006; -14.13749
-0.01241; 82.77355; -0.00006; -10.71332
-0.00152; 81.80246; -0.00006; -6.60044
-0.00096; 81.70772; -0.00006; -5.85232
-0.00737; 81.91033; -0.00006; -6.65910
-0.00652; 81.73163; -0.00006; -5.33880
-0.00503; 81.58386; -0.00006; -4.05590
-0.00379; 81.49522; -0.00006; -3.05003
-0.00285; 81.44483; -0.00006; -2.29006
-0.00214; 81.41649; -0.00006; -1.72022
-0.00162; 81.40050; -0.00006; -1.29221
-0.00123; 81.39143; -0.00006; -0.96917
-0.00092; 81.38626; -0.00006; -0.72435
-0.00069; 81.38334; -0.00006; -0.53954
-0.00051; 81.38171; -0.00006; -0.40130
-0.00038; 81.38081; -0.00006; -0.29848
-0.00028; 81.38031; -0.00006; -0.22231
-0.00021; 81.38004; -0.00006; -0.16581
-0.00016; 81.37989; -0.00006; -0.12375
-0.00012; 81.37980; -0.00006; -0.09245
-0.00009; 81.37975; -0.00006; -0.06910
-0.00006; 81.37973; -0.00006; -0.05167
-0.00005; 81.37971; -0.00006; -0.03869
-0.00004; 81.37970; -0.00006; -0.02898
-0.00003; 81.37970; -0.00006; -0.02174
-0.00002; 81.37970; -0.00006; -0.01632
-0.00001; 81.37970; -0.00006; -0.01227
-0.00001; 81.37970; -0.00006; -0.00926
-0.00001; 81.37969; -0.00006; -0.00700
-0.00001; 81.37969; -0.00006; -0.00532
-0.00000; 81.37969; -0.00006; -0.00405
-0.00000; 81.37969; -0.00006; -0.00309
-0.00000; 81.37969; -0.00006; -0.00237
-0.00000; 81.37969; -0.00006; -0.00183
-0.00000; 81.37969; -0.00006; -0.00143
-0.00000; 81.37969; -0.00006; -0.00112
-0.00000; 81.37969; -0.00006; -0.00089
-0.00000; 81.37969; -0.00006; -0.00071
-0.00000; 81.37969; -0.00006; -0.00058
-0.00000; 81.37969; -0.00006; -0.00048
-0.00000; 81.37969; -0.00006; -0.00040
-0.00000; 81.37969; -0.00006; -0.00034
-0.00000; 81.37969; -0.00006; -0.00029
-0.00000; 81.37969; -0.00006; -0.00024
-0.00000; 81.37969; -0.00006; -0.00022
-0.00000; 81.37969; -0.00006; -0.00019
-0.00000; 81.37969; -0.00006; -0.00017
-0.00000; 81.37969; -0.00006; -0.00015
-0.00000; 81.37969; -0.00006; -0.00014
-0.00000; 81.37969; -0.00006; -0.00012
-0.00000; 81.37969; -0.00006; -0.00011
-0.00000; 81.37969; -0.00006; -0.00010
-0.00000; 81.37969; -0.00006; -0.00010
-0.00000; 81.37969; -0.00006; -0.00009
-0.00000; 81.37969; -0.00006; -0.00008
-0.00000; 81.37969; -0.00006; -0.00007
-0.00000; 81.37969; -0.00006; -0.00007
-0.00000; 81.37969; -0.00006; -0.00006
-0.00000; 81.37969; -0.00006; -0.00006
-0.00000; 81.37969; -0.00006; -0.00005
-0.00000; 81.37969; -0.00006; -0.00005
-0.00000; 81.37969; -0.00006; -0.00004
-0.00000; 81.37969; -0.00006; -0.00004
-0.00000; 81.37969; -0.00006; -0.00003
-0.00000; 81.37969; -0.00006; -0.00003
-0.00000; 81.37969; -0.00006; -0.00003
-0.00000; 81.37969; -0.00006; -0.00002
-0.00000; 81.37969; -0.00006; -0.00002
-0.00000; 81.37969; -0.00006; -0.00001
-0.00000; 81.37969; -0.00006; -0.00001
-0.00000; 81.37969; -0.00006; -0.00000
-0.00000; 81.37969; -0.00006; 0.00000
-0.00000; 81.37969; -0.00006; 0.00000
-0.00000; 81.37969; -0.00006; 0.00001
-0.00000; 81.37969; -0.00006; 0.00001
-0.00000; 81.37969; -0.00006; 0.00002
-0.00000; 81.37969; -0.00006; 0.00003
-0.00000; 81.37969; -0.00006; 0.00003
-0.00000; 81.37969; -0.00006; 0.00004
-0.00000; 81.37969; -0.00006; 0.00005
-0.00000; 81.37969; -0.00006; 0.00007
-0.00000; 81.37969; -0.00006; 0.00008
-0.00000; 81.37969; -0.00006; 0.00010
-0.00000; 81.37969; -0.00006; 0.00013
-0.00000; 81.37969; -0.00006; 0.00017
