# traj_x; traj_y
-130.62618; -16.88331
-131.62529; -16.89807
-132.62444; -16.91352
-133.62362; -16.93021
-134.62283; -16.94761
-135.62210; -16.96508
-136.62142; -16.98256
-137.62079; -17.00004
-138.62022; -17.01754
-139.61970; -17.03508
-140.61923; -17.05264
-141.61882; -17.07019
-142.61847; -17.08775
-143.61816; -17.10557
-144.61788; -17.12434
-145.61754; -17.14692
-146.61706; -17.17581
-147.61650; -17.20827
-148.61588; -17.24119
-149.61515; -17.27415
-150.61433; -17.30715
-151.61341; -17.34041
-152.61229; -17.37604
-153.61092; -17.41579
-154.60935; -17.45784
-155.60764; -17.50026
-156.60579; -17.54288
-157.60376; -17.58660
-158.60152; -17.63221
-159.59908; -17.67893
-160.59648; -17.72590
-161.59371; -17.77345
-162.59073; -17.82198
-163.58757; -17.87107
-164.58425; -17.92024
-165.58077; -17.96941
-166.57712; -18.01858
-167.57332; -18.06773
-168.56937; -18.11686
-169.56527; -18.16598
-170.56102; -18.21509
-171.55663; -18.26418
-172.55211; -18.31326
-173.54746; -18.36232
-174.54270; -18.41135
-175.53782; -18.46038
-176.53283; -18.50974
-177.52758; -18.56163
-178.52192; -18.61802
-179.51595; -18.67732
-180.50969; -18.73941
-181.50300; -18.80582
-182.49601; -18.87471
-183.48888; -18.94433
-184.48144; -19.01667
-185.47328; -19.09636
-186.46429; -19.18431
-187.45485; -19.27595
-188.44522; -19.36830
-189.43532; -19.46235
-190.42503; -19.55933
-191.41447; -19.65808
-192.40372; -19.75800
-193.39201; -19.86618
-194.37861; -19.98881
-195.36415; -20.11948
-196.34930; -20.25199
-197.33364; -20.38993
-198.31665; -20.53724
-199.29867; -20.69080
-200.28017; -20.84681
-201.26132; -21.00386
-202.24227; -21.16113
-203.22294; -21.31934
-204.20326; -21.47921
-205.18332; -21.64003
-206.16335; -21.80102
-207.14358; -21.96212
-208.12417; -22.12329
-209.10510; -22.28453
-210.08642; -22.44583
-211.06812; -22.60719
-212.05022; -22.76862
-213.03272; -22.93012
-214.01563; -23.09169
-214.99895; -23.25334
-215.98268; -23.41506
-216.96680; -23.57686
-217.95132; -23.73873
-218.93622; -23.90067
-219.92148; -24.06268
-220.90710; -24.22476
-221.89306; -24.38691
-222.87933; -24.54911
-223.86590; -24.71137
-224.85274; -24.87368
-225.83983; -25.03604
-226.82714; -25.19844
-227.81464; -25.36087
-228.80232; -25.52332
-229.79012; -25.68580
-230.77803; -25.84830
-231.76602; -26.01080
-232.75404; -26.17330
-233.74207; -26.33579
-234.73008; -26.49827
-235.71801; -26.66069
-236.70580; -26.82306
-237.69341; -26.98537
-238.68087; -27.14764
-239.66818; -27.30989
-240.65536; -27.47210
-241.64242; -27.63429
-242.62938; -27.79645
-243.61624; -27.95859
-244.60303; -28.12072
-245.58975; -28.28283
-246.57642; -28.44493
-247.56305; -28.60702
-248.54966; -28.76910
-249.53625; -28.93118
-250.52284; -29.09326
-251.50945; -29.25535
-252.49608; -29.41744
-253.48275; -29.57955
-254.46948; -29.74166
-255.45628; -29.90379
-256.44316; -30.06594
-257.43014; -30.22811
-258.41723; -30.39031
-259.40444; -30.55254
-260.39179; -30.71479
-261.37930; -30.87708
-262.36698; -31.03941
-263.35484; -31.20178
-264.34290; -31.36422
-265.33116; -31.52673
-266.31959; -31.68928
-267.30815; -31.85186
-268.29683; -32.01446
-269.28558; -32.17707
-270.27438; -32.33969
-271.26320; -32.50232
-272.25202; -32.66494
-273.24080; -32.82755
-274.22953; -32.99015
-275.21819; -33.15273
-276.20676; -33.31528
-277.19521; -33.47781
-278.18355; -33.64031
-279.17174; -33.80277
-280.15978; -33.96520
-281.14767; -34.12760
-282.13540; -34.28995
-283.12296; -34.45227
-284.11036; -34.61456
-285.09760; -34.77680
-286.08469; -34.93901
-287.07164; -35.10119
-288.05845; -35.26334
-289.04516; -35.42547
-290.03177; -35.58757
-291.01832; -35.74965
-292.00482; -35.91172
-292.99133; -36.07378
-293.97786; -36.23584
-294.96446; -36.39789
-295.95119; -36.55994
-296.93808; -36.72199
-297.92521; -36.88404
-298.91261; -37.04607
-299.90038; -37.20808
-300.88857; -37.37004
-301.87726; -37.53192
-302.86654; -37.69368
-303.85650; -37.85523
-304.84723; -38.01647
-305.83884; -38.17727
-306.83144; -38.33742
-307.82513; -38.49666
-308.82005; -38.65460
-309.81631; -38.81075
-310.81403; -38.96443
-311.81334; -39.11472
-312.81434; -39.26044
-313.81714; -39.40004
-314.82180; -39.53158
-315.82835; -39.65271
-316.83675; -39.76068
-317.84689; -39.85250
-318.85860; -39.92508
-319.87158; -39.97538
-320.88551; -40.00061
-321.89965; -39.99442
-322.91343; -39.96406
-323.92671; -39.91066
-324.93916; -39.82432
-325.95145; -39.71848
-326.96401; -39.59766
-327.97599; -39.43941
-328.98506; -39.22499
-329.99667; -38.96746
-331.01620; -38.66390
-332.03068; -38.28311
-333.01800; -37.80964
-333.95457; -37.24364
-334.82014; -36.60802
-335.60349; -35.93423
-336.30251; -35.23699
-336.92697; -34.52511
-337.48439; -33.80835
-337.97732; -33.09614
-338.40948; -32.39645
-338.78414; -31.71465
-339.10538; -31.05145
-339.37890; -30.40571
-339.61555; -29.75360
-339.82699; -29.04653
-340.01266; -28.25861
-340.17192; -27.38876
-340.30413; -26.44159
-340.39946; -25.43073
-340.44957; -24.37555
-340.45065; -23.29765
-340.40045; -22.21290
-340.29788; -21.13148
