# delta; F_drive; F_brake; gamma_y
-0.05178; 132.30691; -0.00001; 116.30334
0.00738; 131.03108; -0.00001; 101.31746
0.02799; 110.43792; -0.00001; 68.12973
0.03364; 95.66380; -0.00001; 39.96912
0.02793; 86.45869; -0.00001; 17.87392
0.01951; 82.81710; -0.00001; 4.11343
0.01136; 81.74595; -0.00001; -3.04388
0.00529; 81.54767; -0.00001; -5.59075
0.00138; 81.51421; -0.00001; -5.57356
-0.00070; 81.47776; -0.00001; -4.38316
-0.00151; 81.43604; -0.00001; -2.91426
-0.00160; 81.40598; -0.00001; -1.63533
-0.00136; 81.38980; -0.00001; -0.69695
-0.00092; 81.38248; -0.00001; -0.08023
-0.00051; 81.38043; -0.00001; 0.22667
-0.00021; 81.38011; -0.00001; 0.31574
-0.00002; 81.38003; -0.00001; 0.28813
0.00007; 81.37991; -0.00001; 0.21214
0.00010; 81.37978; -0.00001; 0.12993
0.00009; 81.37970; -0.00001; 0.06298
0.00006; 81.37966; -0.00001; 0.01801
0.00004; 81.37965; -0.00001; -0.00682
0.00002; 81.37965; -0.00001; -0.01681
0.00001; 81.37965; -0.00001; -0.01773
-0.00000; 81.37965; -0.00001; -0.01422
-0.00001; 81.37965; -0.00001; -0.00941
-0.00001; 81.37964; -0.00001; -0.00498
-0.00001; 81.37964; -0.00001; -0.00162
-0.00000; 81.37964; -0.00001; 0.00061
-0.00000; 81.37964; -0.00001; 0.00192
-0.00000; 81.37964; -0.00001; 0.00248
0.00000; 81.37964; -0.00001; 0.00235
0.00001; 81.37965; -0.00001; 0.00134
0.00002; 81.37965; -0.00001; -0.00092
0.00002; 81.37965; -0.00001; -0.00486
0.00003; 81.37965; -0.00001; -0.01069
0.00003; 81.37965; -0.00001; -0.01793
0.00001; 81.37965; -0.00001; -0.02484
-0.00004; 81.37966; -0.00001; -0.02774
-0.00012; 81.37970; -0.00001; -0.02057
-0.00024; 81.37980; -0.00001; 0.00484
-0.00038; 81.37996; -0.00001; 0.05739
-0.00050; 81.38013; -0.00001; 0.14325
-0.00051; 81.38014; -0.00001; 0.25998
-0.00031; 81.38012; -0.00001; 0.38887
0.00032; 81.38163; -0.00001; 0.49192
0.00184; 81.39411; -0.00001; 0.54803
0.00718; 81.54839; -0.00001; 0.91811
0.04060; 86.80729; -0.00001; 5.80236
0.05536; 88.37590; -0.00001; -6.42059
0.05002; 86.27816; -0.00001; -23.43831
0.04817; 86.30338; -0.00001; -31.90562
0.01832; 88.03518; -0.00001; -44.56252
0.07703; 91.88501; -0.00001; -21.24489
0.09738; 98.07652; -0.00001; -35.80397
0.01738; 104.68590; -0.00001; -78.50043
0.01642; 92.66755; -0.00001; -59.78846
0.02974; 86.04714; -0.00001; -45.10401
0.13126; 116.52837; -0.00001; -13.43321
0.17405; 137.05434; -0.00001; -39.12116
0.20411; 153.92758; -0.00001; -69.97964
0.25114; 187.67877; -0.00000; -91.42706
0.08776; 211.97605; -0.00000; -189.96245
0.05660; 187.73447; -0.00000; -174.80518
0.22025; 154.85710; -0.00001; -100.55118
0.21706; 169.08065; -0.00000; -141.22867
0.05494; 253.88442; -0.00000; -212.23585
-0.10563; 348.88917; -0.00000; -213.31724
-0.12767; 308.03058; -0.00000; -187.51674
0.03030; 124.58442; -0.00001; -123.35005
0.18681; 132.57947; -0.00001; -59.59844
0.26180; 190.47328; -0.00000; -76.27978
0.25346; 191.54239; -0.00000; -133.65578
0.09860; 252.68469; -0.00000; -216.51536
-0.05782; 343.26331; -0.00000; -225.31760
-0.19319; 407.66787; -0.00000; -206.94666
-0.10933; 268.18306; -0.00000; -173.82372
0.05532; 102.85564; -0.00001; -101.69321
0.15914; 117.22709; -0.00001; -70.02559
-0.00970; 182.85202; -0.00000; -153.98276
-0.18079; 293.86238; -0.00000; -152.61322
-0.09199; 153.40209; -0.00001; -90.25863
-0.05261; 100.47647; -0.00001; -39.53950
-0.03779; 87.81148; -0.00001; -14.32816
-0.02415; 83.16414; -0.00001; 0.60112
-0.01306; 81.95974; -0.00001; 7.47255
-0.00510; 81.75330; -0.00001; 9.15167
-0.00033; 81.67569; -0.00001; 7.96750
0.00192; 81.57006; -0.00001; 5.69300
0.00252; 81.47459; -0.00001; 3.41804
0.00230; 81.41785; -0.00001; 1.65305
0.00174; 81.39204; -0.00001; 0.47776
0.00104; 81.38270; -0.00001; -0.20516
0.00049; 81.38090; -0.00001; -0.46360
0.00013; 81.38065; -0.00001; -0.47859
-0.00007; 81.38042; -0.00001; -0.38035
-0.00016; 81.38012; -0.00001; -0.24916
-0.00018; 81.37988; -0.00001; -0.12930
-0.00017; 81.37975; -0.00001; -0.03835
-0.00014; 81.37969; -0.00001; 0.02280
-0.00009; 81.37967; -0.00001; 0.06013
-0.00002; 81.37967; -0.00001; 0.07914
0.00009; 81.37973; -0.00001; 0.08031
0.00027; 81.37991; -0.00001; 0.05730
0.00051; 81.38035; -0.00001; -0.00249
0.00079; 81.38106; -0.00001; -0.11477
0.00103; 81.38171; -0.00001; -0.29121
0.00105; 81.38175; -0.00001; -0.52734
0.00062; 81.38166; -0.00001; -0.79927
-0.00097; 81.39190; -0.00001; -1.12017
-0.00734; 81.59585; -0.00001; -2.01633
-0.05065; 90.32227; -0.00001; -10.27705
-0.09807; 106.71284; -0.00001; -3.98003
-0.06364; 90.36869; -0.00001; 37.17450
-0.04725; 89.41303; -0.00001; 48.06011
-0.21444; 183.72830; -0.00000; -7.30999
-0.24188; 188.61936; -0.00000; 45.33469
-0.12497; 151.28980; -0.00001; 139.53513
-0.25459; 187.39932; -0.00000; 85.87299
-0.26178; 198.41046; -0.00000; 129.97317
-0.15506; 222.74245; -0.00000; 201.37922
-0.20165; 188.94668; -0.00000; 174.33868
-0.26179; 202.48278; -0.00000; 158.90426
-0.20707; 228.89822; -0.00000; 205.02506
-0.05605; 332.32315; -0.00000; 245.92208
0.05209; 381.77673; -0.00000; 241.19082
-0.10580; 192.46961; -0.00000; 191.73608
-0.06352; 207.90795; -0.00000; 194.30008
0.10067; 325.28816; -0.00000; 205.20633
0.22019; 385.18392; -0.00000; 185.38861
0.26042; 371.91102; -0.00000; 158.09253
0.08951; 159.12242; -0.00001; 99.93185
-0.00657; 83.54097; -0.00001; 37.93834
-0.01009; 84.12253; -0.00001; 36.77879
-0.03345; 82.91109; -0.00001; 28.02742
-0.12290; 114.04542; -0.00001; 9.35253
-0.26178; 221.67346; -0.00000; 0.63619
-0.19389; 151.59214; -0.00001; 95.91230
-0.02368; 204.31798; -0.00000; 173.41322
0.04323; 200.82195; -0.00000; 155.06883
-0.09529; 96.92077; -0.00001; 78.31576
-0.11651; 105.95959; -0.00001; 85.03569
0.05121; 194.36233; -0.00000; 146.93000
0.03717; 135.38553; -0.00001; 102.85548
-0.09414; 93.28959; -0.00001; 35.33983
-0.14996; 118.99701; -0.00001; 44.53952
-0.05585; 119.63423; -0.00001; 109.30437
-0.18356; 137.13070; -0.00001; 54.24903
-0.24261; 179.35284; -0.00000; 74.17494
-0.13940; 167.30970; -0.00000; 159.06003
-0.10085; 168.52171; -0.00000; 165.68529
-0.22645; 161.36952; -0.00001; 107.51946
-0.26179; 192.62989; -0.00000; 128.83124
-0.19529; 206.95220; -0.00000; 188.97820
-0.04516; 301.39383; -0.00000; 232.50530
-0.18358; 172.76777; -0.00000; 170.41903
-0.15346; 191.50406; -0.00000; 188.70835
0.00429; 301.78089; -0.00000; 223.29026
-0.13742; 155.32561; -0.00001; 164.23908
-0.12833; 162.26381; -0.00001; 168.76084
0.03479; 277.52160; -0.00000; 204.41800
0.11564; 300.25246; -0.00000; 187.88533
-0.04948; 117.60465; -0.00001; 120.29579
-0.06518; 108.27384; -0.00001; 107.47833
-0.07289; 106.12252; -0.00001; 101.75803
0.09766; 218.27012; -0.00000; 144.16340
0.08605; 156.86590; -0.00001; 97.67821
0.05187; 103.98555; -0.00001; 47.68920
0.03861; 89.45465; -0.00001; 20.51448
0.02622; 83.77914; -0.00001; 3.70878
0.01517; 82.04893; -0.00001; -5.04927
0.00692; 81.71144; -0.00001; -8.05407
0.00160; 81.64422; -0.00001; -7.74974
-0.00118; 81.56717; -0.00001; -5.94719
-0.00219; 81.48328; -0.00001; -3.84321
-0.00221; 81.42529; -0.00001; -2.06545
-0.00182; 81.39637; -0.00001; -0.81237
-0.00119; 81.38408; -0.00001; -0.01674
-0.00063; 81.38097; -0.00001; 0.35563
-0.00024; 81.38051; -0.00001; 0.44285
-0.00000; 81.38035; -0.00001; 0.38597
0.00011; 81.38011; -0.00001; 0.27436
0.00014; 81.37987; -0.00001; 0.16142
0.00012; 81.37973; -0.00001; 0.07307
0.00008; 81.37967; -0.00001; 0.01597
0.00005; 81.37965; -0.00001; -0.01394
0.00002; 81.37965; -0.00001; -0.02463
0.00000; 81.37965; -0.00001; -0.02409
-0.00000; 81.37965; -0.00001; -0.01847
-0.00001; 81.37965; -0.00001; -0.01177
-0.00001; 81.37964; -0.00001; -0.00605
-0.00001; 81.37964; -0.00001; -0.00206
-0.00000; 81.37964; -0.00001; 0.00024
-0.00000; 81.37964; -0.00001; 0.00125
-0.00000; 81.37964; -0.00001; 0.00144
0.00000; 81.37964; -0.00001; 0.00121
0.00000; 81.37964; -0.00001; 0.00084
0.00000; 81.37964; -0.00001; 0.00048
0.00000; 81.37964; -0.00001; 0.00020
0.00000; 81.37964; -0.00001; 0.00003
0.00000; 81.37964; -0.00001; -0.00005
0.00000; 81.37964; -0.00001; -0.00008
0.00000; 81.37964; -0.00001; -0.00008
