# track_x; track_y
0.49760; -0.52932
1.34267; -1.04723
2.21530; -1.48658
3.11297; -1.85413
4.03314; -2.15660
4.97331; -2.40076
5.93094; -2.59334
6.90352; -2.74108
7.88853; -2.85074
8.88345; -2.92906
9.88575; -2.98277
10.89292; -3.01863
11.90289; -3.04206
12.91481; -3.05504
13.92804; -3.05899
14.94191; -3.05534
15.95578; -3.04550
16.96899; -3.03091
17.98087; -3.01297
18.99079; -2.99312
19.99809; -2.97277
21.00211; -2.95335
22.00247; -2.93596
22.99950; -2.92088
23.99364; -2.90824
24.98532; -2.89820
25.97498; -2.89090
26.96306; -2.88649
27.95000; -2.88512
28.93624; -2.88692
29.92221; -2.89204
30.90835; -2.90063
31.89511; -2.91284
32.88291; -2.92881
33.87220; -2.94868
34.86342; -2.97260
35.85699; -3.00072
36.85337; -3.03318
37.85299; -3.07013
38.85629; -3.11171
39.86370; -3.15807
40.87566; -3.20934
41.89219; -3.26487
42.91223; -3.32191
43.93456; -3.37743
44.95795; -3.42837
45.98119; -3.47171
47.00306; -3.50438
48.02234; -3.52336
49.03780; -3.52558
50.04824; -3.50802
51.05242; -3.46762
52.04912; -3.40135
53.03714; -3.30614
54.01524; -3.17898
54.98221; -3.01680
55.93682; -2.81656
56.87786; -2.57523
57.80411; -2.28975
58.71434; -1.95708
59.60734; -1.57418
60.48188; -1.13800
61.33675; -0.64551
62.16944; -0.09542
62.97446; 0.50940
63.74587; 1.16549
64.47774; 1.86937
65.16413; 2.61758
65.79911; 3.40666
66.37675; 4.23312
66.89110; 5.09350
67.33624; 5.98435
67.70624; 6.90218
67.99809; 7.84349
68.21545; 8.80466
68.36290; 9.78209
68.44505; 10.77213
68.46649; 11.77118
68.43180; 12.77560
68.34558; 13.78178
68.21243; 14.78610
68.03694; 15.78492
67.82369; 16.77464
67.57728; 17.75305
67.30223; 18.72112
67.00310; 19.68025
66.68441; 20.63183
66.35071; 21.57728
66.00654; 22.51798
65.65644; 23.45533
65.30493; 24.39075
64.95658; 25.32562
64.61590; 26.26134
64.28744; 27.19932
63.97387; 28.14054
63.67383; 29.08511
63.38539; 30.03302
63.10661; 30.98426
62.83559; 31.93880
62.57040; 32.89664
62.30911; 33.85776
62.04979; 34.82214
61.79054; 35.78977
61.52942; 36.76064
61.26651; 37.73475
61.00615; 38.71216
60.75325; 39.69289
60.51270; 40.67702
60.28942; 41.66459
60.08832; 42.65566
59.91429; 43.65026
59.77225; 44.64847
59.66711; 45.65032
59.60375; 46.65586
59.58655; 47.66357
59.61865; 48.66864
59.70308; 49.66580
59.84285; 50.64981
60.04098; 51.61541
60.30048; 52.55734
60.62437; 53.47036
61.01567; 54.34920
61.47738; 55.18862
62.01251; 55.98337
62.62102; 56.73017
63.29660; 57.42983
64.03216; 58.08366
64.82059; 58.69296
65.65480; 59.25906
66.52768; 59.78326
67.43213; 60.26688
68.36105; 60.71123
69.30735; 61.11762
70.26394; 61.48735
71.22589; 61.82096
72.19267; 62.11742
73.16428; 62.37550
74.14070; 62.59398
75.12194; 62.77163
76.10799; 62.90722
77.09886; 62.99954
78.09453; 63.04735
79.09501; 63.04942
80.10027; 63.00454
81.10832; 62.91124
82.11319; 62.76760
83.10849; 62.57164
84.08779; 62.32138
85.04467; 62.01485
85.97272; 61.65006
86.86554; 61.22505
87.71669; 60.73783
88.51977; 60.18643
89.26838; 59.56888
89.95833; 58.88588
90.58967; 58.14321
91.16295; 57.34725
91.67874; 56.50440
92.13757; 55.62102
92.54001; 54.70349
92.88660; 53.75820
93.17789; 52.79153
93.41444; 51.80985
93.59681; 50.81953
93.72720; 49.82506
93.81090; 48.82736
93.85353; 47.82700
93.86072; 46.82452
93.83809; 45.82045
93.79127; 44.81535
93.72588; 43.80976
93.64755; 42.80424
93.56191; 41.79931
93.47457; 40.79554
93.39115; 39.79345
93.31520; 38.79333
93.24646; 37.79492
93.18428; 36.79793
93.12797; 35.80206
93.07687; 34.80701
93.03032; 33.81247
92.98765; 32.81815
92.94819; 31.82376
92.91128; 30.82898
92.87624; 29.83352
92.84264; 28.83721
92.81049; 27.84007
92.77981; 26.84218
92.75063; 25.84359
92.72301; 24.84436
92.69697; 23.84456
92.67255; 22.84424
92.64979; 21.84348
92.62873; 20.84232
92.60939; 19.84084
92.59183; 18.83908
92.57607; 17.83712
92.56215; 16.83502
92.55012; 15.83283
92.53999; 14.83062
92.53183; 13.82844
92.52565; 12.82637
92.52150; 11.82446
92.51941; 10.82277
92.51942; 9.82137
92.52137; 8.82029
92.52477; 7.81951
92.52908; 6.81903
92.53377; 5.81882
92.53831; 4.81887
92.54217; 3.81917
92.54481; 2.81970
92.54571; 1.82044
92.54433; 0.82137
92.54013; -0.17751
92.53259; -1.17622
92.52118; -2.17479
92.50536; -3.17322
92.48460; -4.17154
92.45837; -5.16975
92.42614; -6.16787
92.38737; -7.16593
92.34154; -8.16393
92.28810; -9.16189
92.22656; -10.15982
92.15809; -11.15783
92.08681; -12.15610
92.01716; -13.15486
91.95355; -14.15434
91.90041; -15.15474
91.86214; -16.15630
91.84318; -17.15922
91.84795; -18.16373
91.88087; -19.17005
91.94634; -20.17837
92.04829; -21.18708
92.18978; -22.19148
92.37379; -23.18655
92.60329; -24.16729
92.88126; -25.12867
93.21069; -26.06570
93.59454; -26.97336
94.03580; -27.84663
94.53745; -28.68051
95.10242; -29.47002
95.73071; -30.21211
96.41735; -30.90706
97.15694; -31.55543
97.94402; -32.15780
98.77319; -32.71473
99.63901; -33.22679
100.53606; -33.69456
101.45890; -34.11862
102.40212; -34.49952
103.36028; -34.83784
104.32798; -35.13419
105.30140; -35.39118
106.27937; -35.61479
107.26092; -35.81128
108.24512; -35.98694
109.23102; -36.14803
110.21766; -36.30082
111.20410; -36.45160
112.18940; -36.60663
113.17261; -36.77218
114.15278; -36.95452
115.12884; -37.15838
116.09954; -37.38610
117.06360; -37.63978
118.01975; -37.92152
118.96672; -38.23342
119.90324; -38.57760
120.82804; -38.95615
121.73983; -39.37118
122.63735; -39.82480
123.51930; -40.31908
124.38272; -40.85513
125.22198; -41.43245
126.03123; -42.05039
126.80463; -42.70832
127.53631; -43.40561
128.22044; -44.14161
128.85114; -44.91569
129.42258; -45.72721
129.92889; -46.57553
130.36427; -47.45999
130.72514; -48.37782
131.01144; -49.32301
131.22341; -50.28925
131.36127; -51.27027
131.42527; -52.25976
131.41565; -53.25142
131.33263; -54.23895
131.17647; -55.21607
130.94739; -56.17648
130.64568; -57.11394
130.27489; -58.02573
129.84343; -58.91448
129.36017; -59.78325
128.83394; -60.63513
128.27360; -61.47317
127.68799; -62.30044
127.08596; -63.12002
126.47635; -63.93496
125.86802; -64.74836
125.26974; -65.56324
124.68656; -66.38188
124.11801; -67.20530
123.56312; -68.03446
123.02097; -68.87030
122.49056; -69.71374
121.96900; -70.56392
121.45056; -71.41738
120.92930; -72.27045
120.39925; -73.11946
119.85451; -73.96074
119.29092; -74.79076
118.70698; -75.60626
118.10137; -76.40396
117.47278; -77.18061
116.81989; -77.93293
116.14139; -78.65766
115.43598; -79.35155
114.70233; -80.01132
113.93913; -80.63371
113.14511; -81.21551
112.32078; -81.75634
111.46920; -82.25986
110.59364; -82.73005
109.69736; -83.17089
108.78363; -83.58636
107.85572; -83.98042
106.91690; -84.35707
105.97042; -84.72028
105.01955; -85.07402
104.06756; -85.42228
103.11769; -85.76899
102.17168; -86.11646
101.22915; -86.46467
100.28960; -86.81342
99.35248; -87.16252
98.41729; -87.51178
97.48348; -87.86101
96.55055; -88.21000
95.61796; -88.55857
94.68519; -88.90652
93.75173; -89.25366
92.81728; -89.59990
91.88188; -89.94529
90.94560; -90.28988
90.00849; -90.63373
89.07062; -90.97689
88.13205; -91.31944
87.19285; -91.66141
86.25306; -92.00288
85.31277; -92.34390
84.37202; -92.68452
83.43088; -93.02480
82.48941; -93.36481
81.54767; -93.70459
80.60573; -94.04421
79.66364; -94.38373
78.72147; -94.72319
77.77929; -95.06267
76.83714; -95.40221
75.89510; -95.74187
74.95322; -96.08171
74.01154; -96.42178
73.07007; -96.76207
72.12879; -97.10261
71.18772; -97.44340
70.24685; -97.78445
69.30618; -98.12577
68.36571; -98.46738
67.42544; -98.80928
66.48536; -99.15148
65.54549; -99.49400
64.60581; -99.83684
63.66633; -100.18002
62.72704; -100.52355
61.78795; -100.86743
60.84905; -101.21168
59.91035; -101.55631
58.97184; -101.90132
58.03352; -102.24673
57.09540; -102.59255
56.15747; -102.93879
55.21973; -103.28546
54.28217; -103.63257
53.34481; -103.98013
52.40764; -104.32815
51.47066; -104.67664
50.53386; -105.02561
49.59725; -105.37508
48.66083; -105.72504
47.72459; -106.07552
46.78854; -106.42653
45.85268; -106.77806
44.91700; -107.13014
43.98150; -107.48278
43.04618; -107.83598
42.11105; -108.18976
41.17610; -108.54412
40.24133; -108.89908
39.30674; -109.25464
38.37234; -109.61083
37.43811; -109.96764
36.50406; -110.32508
35.57018; -110.68313
34.63648; -111.04180
33.70296; -111.40107
32.76961; -111.76092
31.83643; -112.12135
30.90342; -112.48235
29.97057; -112.84390
29.03790; -113.20600
28.10539; -113.56863
27.17304; -113.93179
26.24085; -114.29547
25.30883; -114.65965
24.37697; -115.02432
23.44526; -115.38947
22.51371; -115.75510
21.58232; -116.12119
20.65108; -116.48773
19.71999; -116.85471
18.78905; -117.22213
17.85826; -117.58996
16.92762; -117.95820
15.99713; -118.32684
15.06678; -118.69587
14.13657; -119.06528
13.20651; -119.43506
12.27659; -119.80519
11.34680; -120.17568
10.41716; -120.54649
9.48765; -120.91764
8.55827; -121.28910
7.62903; -121.66086
6.69992; -122.03292
5.77094; -122.40526
4.84209; -122.77788
3.91336; -123.15076
2.98477; -123.52389
2.05629; -123.89726
1.12794; -124.27087
0.19972; -124.64470
-0.72839; -125.01873
-1.65638; -125.39297
-2.58425; -125.76740
-3.51201; -126.14201
-4.43965; -126.51678
-5.36718; -126.89172
-6.29459; -127.26680
-7.22190; -127.64202
-8.14910; -128.01737
-9.07619; -128.39283
-10.00318; -128.76840
-10.93006; -129.14406
-11.85684; -129.51981
-12.78351; -129.89564
-13.71009; -130.27153
-14.63657; -130.64747
-15.56295; -131.02345
-16.48924; -131.39947
-17.41543; -131.77551
-18.34153; -132.15156
