# outer_x; outer_y
127.18968; -51.88682
127.27032; -52.65142
127.28102; -53.28204
127.26692; -53.79520
127.15443; -54.30905
127.02445; -54.88192
126.77752; -55.50152
126.49334; -56.17219
126.13735; -56.85315
125.72787; -57.54900
125.24992; -58.26841
124.68388; -59.04275
124.13250; -59.89396
123.53054; -60.70293
122.91951; -61.50959
122.29677; -62.32255
121.68540; -63.15066
121.12366; -63.99874
120.54047; -64.81248
119.99423; -65.64489
119.47615; -66.50050
118.94945; -67.35887
118.39193; -68.19446
117.89273; -69.06439
117.36628; -69.91722
116.84070; -70.76907
116.30591; -71.59445
115.78899; -72.40070
115.24222; -73.15169
114.73978; -73.87607
114.19714; -74.56295
113.61872; -75.27517
113.03034; -75.93339
112.52610; -76.47136
112.11314; -76.87216
111.64159; -77.20262
111.02870; -77.60836
110.27104; -78.01454
109.46604; -78.44001
108.69906; -78.86417
107.91000; -79.22529
107.03510; -79.61888
106.12548; -80.00554
105.25464; -80.38365
104.38055; -80.73787
103.46701; -81.08171
102.51851; -81.42281
101.56659; -81.78205
100.61344; -82.12618
99.67949; -82.50007
98.73732; -82.84387
97.80071; -83.19588
96.87215; -83.56391
95.94223; -83.92476
95.01273; -84.28408
94.09024; -84.65973
93.16142; -85.01795
92.21798; -85.33827
91.28828; -85.69594
90.34592; -86.02403
89.41358; -86.37930
88.47321; -86.71523
87.51899; -87.01684
86.57268; -87.33975
85.63757; -87.69223
84.70488; -88.05181
83.76811; -88.40167
82.82188; -88.72801
81.88209; -89.07143
80.94207; -89.41476
79.99660; -89.74459
79.04598; -90.06155
78.09858; -90.38704
77.15334; -90.71820
76.22594; -91.09516
75.29062; -91.45182
74.34194; -91.77433
73.39460; -92.10029
72.45219; -92.43851
71.52525; -92.81591
70.58577; -93.16092
69.63322; -93.47228
68.68094; -93.78411
67.73116; -94.10214
66.79366; -94.45143
65.84945; -94.78335
64.91160; -95.13138
63.96967; -95.46883
63.02696; -95.80411
62.08856; -96.15029
61.15473; -96.50805
60.22750; -96.88260
59.28533; -97.21877
58.33765; -97.54072
57.39294; -97.87023
56.46336; -98.23836
55.54092; -98.62468
54.60706; -98.98172
53.66388; -99.31486
52.71597; -99.63583
51.78900; -100.01038
50.87034; -100.40619
49.93925; -100.77016
49.00642; -101.12968
48.07313; -101.48801
47.14475; -101.85894
46.20864; -102.21011
45.27541; -102.56869
44.34999; -102.94729
43.42205; -103.31950
42.47734; -103.64885
41.53292; -103.97902
40.60144; -104.34240
39.65862; -104.67684
38.72186; -105.02691
37.78126; -105.36725
36.83577; -105.69524
35.89985; -106.04792
34.96684; -106.40814
34.03830; -106.77988
33.09261; -107.10786
32.15502; -107.45667
31.22494; -107.82483
30.29593; -108.19584
29.35608; -108.53922
28.41745; -108.88580
27.47827; -109.23110
26.54208; -109.58411
25.61798; -109.96816
24.68660; -110.33367
23.76234; -110.71746
22.83410; -111.09115
21.90255; -111.45642
20.96763; -111.81311
20.02717; -112.15568
19.09367; -112.51611
18.15532; -112.86417
17.21600; -113.20978
16.28519; -113.57723
15.35738; -113.95236
14.42398; -114.31321
13.49664; -114.68957
12.56992; -115.06756
11.63974; -115.43666
10.69309; -115.76362
9.77100; -116.15345
8.83937; -116.51884
7.90027; -116.86508
6.96837; -117.22975
6.03626; -117.59385
5.11308; -117.98076
4.18716; -118.36062
3.26318; -118.74543
2.33625; -119.12263
1.41169; -119.50583
0.48872; -119.89305
-0.42571; -120.30205
-1.33714; -120.71867
-2.27182; -121.07570
-3.21280; -121.41654
-4.13635; -121.80190
-5.06104; -122.18425
-5.98523; -122.56779
-6.91360; -122.94054
-7.83821; -123.32280
-8.77111; -123.68371
-9.71216; -124.02367
-10.63968; -124.39810
-11.56648; -124.77427
-12.49248; -125.15238
-13.42269; -125.51956
-14.35082; -125.89189
-15.27581; -126.27215
-16.19870; -126.65762
-17.11954; -127.04816
-18.04296; -127.43194
-18.97137; -127.80281
-19.89987; -128.17325
-20.81034; -128.58966
-21.72848; -128.98626
-22.65821; -129.35299
-23.58674; -129.72261
-24.50539; -130.11730
-25.42137; -130.51865
-26.32841; -130.94267
-27.24800; -131.33434
-28.17695; -131.70182
-29.09440; -132.09850
-30.00754; -132.50600
-30.93442; -132.87810
-31.86252; -133.24680
-32.78619; -133.62662
-33.72006; -133.98006
-34.66223; -134.31200
-35.59648; -134.66402
-36.53879; -134.99514
-37.47501; -135.34130
-38.40023; -135.71272
-39.33436; -136.05832
-40.27127; -136.39904
-41.21570; -136.72374
-42.13827; -137.10560
-43.06054; -137.48914
-43.99533; -137.84161
-44.91957; -138.22272
-45.84407; -138.60555
-46.75357; -139.03146
-47.65679; -139.48450
-48.54880; -140.00235
-49.45931; -140.50352
-50.37328; -140.99466
-51.26227; -141.48083
-52.12614; -141.88151
-53.01856; -142.22002
-53.94300; -142.56877
-54.82171; -142.89029
-55.68986; -143.11316
-56.54574; -143.32755
-57.33252; -143.54799
-58.02500; -143.69423
-58.62242; -143.77904
-59.20140; -143.80812
-59.79269; -143.81729
-60.37059; -143.75641
-60.92356; -143.62917
-61.44188; -143.44115
-61.92182; -143.19987
-62.35482; -142.90709
-62.75240; -142.59867
-63.15570; -142.25821
-63.54302; -141.80032
-63.91269; -141.27027
-64.22763; -140.69146
-64.52033; -140.07786
-64.77877; -139.43724
-64.94983; -138.83987
-65.04228; -138.24558
-65.10730; -137.62538
-65.10983; -137.09706
-65.03228; -136.57868
-64.88603; -135.95647
-64.68644; -135.28248
-64.44526; -134.60438
-64.14722; -133.96054
-63.79462; -133.31755
-63.34478; -132.62955
-62.81422; -131.89058
-62.27768; -131.07908
-61.76383; -130.34319
-61.30642; -129.76957
-60.78980; -129.20428
-60.15418; -128.53842
-59.45045; -127.85930
-58.70694; -127.22003
-57.95599; -126.58363
-57.22860; -125.92229
-56.53079; -125.22834
-55.83948; -124.52285
-55.11661; -123.82914
