# delta; F_drive; F_brake; gamma_y
0.02643; 115.53702; -0.00004; 36.77554
-0.06585; 106.37415; -0.00005; 7.35409
-0.06620; 106.27996; -0.00005; 7.14880
-0.02945; 105.57318; -0.00005; 18.48267
-0.01268; 106.59371; -0.00005; 22.88658
-0.00493; 107.07168; -0.00005; 24.23363
-0.00099; 107.12119; -0.00005; 24.35622
0.00109; 106.93741; -0.00005; 23.91546
0.00217; 106.63837; -0.00005; 23.19645
0.00270; 106.29157; -0.00005; 22.34290
0.00293; 105.93432; -0.00005; 21.43251
0.00299; 105.58621; -0.00005; 20.50804
0.00296; 105.25685; -0.00005; 19.59309
0.00289; 104.95032; -0.00005; 18.70043
0.00279; 104.66775; -0.00005; 17.83673
0.00267; 104.40877; -0.00005; 17.00529
0.00256; 104.17225; -0.00005; 16.20735
0.00244; 103.95671; -0.00005; 15.44308
0.00233; 103.76057; -0.00005; 14.71200
0.00222; 103.58227; -0.00005; 14.01333
0.00211; 103.42031; -0.00005; 13.34612
0.00201; 103.27324; -0.00005; 12.70922
0.00192; 103.13976; -0.00005; 12.10148
0.00182; 103.01866; -0.00005; 11.52179
0.00174; 102.90880; -0.00005; 10.96898
0.00165; 102.80919; -0.00005; 10.44197
0.00157; 102.71887; -0.00005; 9.93967
0.00150; 102.63700; -0.00005; 9.46097
0.00142; 102.56279; -0.00005; 9.00485
0.00136; 102.49554; -0.00005; 8.57030
0.00129; 102.43461; -0.00005; 8.15638
0.00123; 102.37940; -0.00005; 7.76216
0.00117; 102.32939; -0.00005; 7.38672
0.00111; 102.28409; -0.00005; 7.02921
0.00106; 102.24305; -0.00005; 6.68880
0.00101; 102.20589; -0.00005; 6.36471
0.00096; 102.17224; -0.00005; 6.05618
0.00091; 102.14176; -0.00005; 5.76245
0.00087; 102.11416; -0.00005; 5.48286
0.00083; 102.08917; -0.00005; 5.21671
0.00079; 102.06654; -0.00005; 4.96339
0.00075; 102.04605; -0.00005; 4.72223
0.00071; 102.02751; -0.00005; 4.49285
0.00068; 102.01071; -0.00005; 4.27442
0.00064; 101.99552; -0.00005; 4.06676
0.00061; 101.98175; -0.00005; 3.86885
0.00058; 101.96931; -0.00005; 3.68089
0.00055; 101.95802; -0.00005; 3.50157
