# inner_x; inner_y
135.60070; -50.66028
135.73766; -51.90785
135.78095; -53.24761
135.71350; -54.74654
135.43576; -56.22466
135.08580; -57.57715
134.60471; -58.81590
134.10388; -59.95765
133.54901; -61.01453
132.94218; -62.04387
132.31482; -62.99462
131.70242; -63.83755
131.15199; -64.68738
130.54217; -65.50782
129.92948; -66.31693
129.31905; -67.11186
128.73212; -67.90395
128.18820; -68.72550
127.60910; -69.53313
127.06425; -70.36345
126.55266; -71.20933
126.03964; -72.04708
125.49160; -72.86829
124.99568; -73.73323
124.47067; -74.58387
123.94236; -75.43987
123.38393; -76.30100
122.81397; -77.18604
122.18137; -78.06068
121.53827; -78.97808
120.83713; -79.86959
120.13292; -80.73542
119.39691; -81.56509
118.56729; -82.45080
117.52113; -83.42984
116.35199; -84.27808
115.30683; -84.95326
114.33646; -85.47928
113.39656; -85.97665
112.41435; -86.50921
111.39256; -86.97911
110.44102; -87.40667
109.49653; -87.80849
108.51707; -88.23264
107.51760; -88.63780
106.53693; -89.00796
105.58091; -89.35199
104.64345; -89.70562
103.70210; -90.04516
102.77171; -90.41766
101.83126; -90.76079
100.89579; -91.11235
99.96811; -91.48004
99.03872; -91.84068
98.10944; -92.19991
97.18687; -92.57559
96.25721; -92.93413
95.31200; -93.25515
94.38108; -93.61330
93.43848; -93.94149
92.50606; -94.29678
91.56563; -94.63274
90.61136; -94.93437
89.66501; -95.25729
88.72984; -95.60980
87.79711; -95.96939
86.86028; -96.31927
85.91400; -96.64563
84.97416; -96.98907
84.03410; -97.33242
83.08860; -97.66226
82.13794; -97.97924
81.19053; -98.30473
80.24527; -98.63590
79.31788; -99.01285
78.38258; -99.36951
77.43402; -99.69197
76.48695; -100.01783
75.54472; -100.35597
74.61783; -100.73335
73.67838; -101.07836
72.72585; -101.38971
71.77359; -101.70153
70.82383; -102.01955
69.88635; -102.36883
68.94215; -102.70075
68.00431; -103.04877
67.06240; -103.38622
66.11970; -103.72149
65.18131; -104.06767
64.24749; -104.42542
63.32028; -104.79997
62.37811; -105.13614
61.43044; -105.45809
60.48574; -105.78759
59.55617; -106.15572
58.63372; -106.54204
57.69986; -106.89907
56.75669; -107.23222
55.80878; -107.55319
54.88181; -107.92773
53.96315; -108.32355
53.03206; -108.68752
52.09924; -109.04704
51.16594; -109.40537
50.23756; -109.77630
49.30145; -110.12747
48.36822; -110.48605
47.44279; -110.86465
46.51485; -111.23686
45.57014; -111.56622
44.62571; -111.89638
43.69423; -112.25976
42.75140; -112.59420
41.81465; -112.94427
40.87404; -113.28461
39.92858; -113.61260
38.99273; -113.96525
38.05975; -114.32545
37.13122; -114.69720
36.18553; -115.02518
35.24794; -115.37398
34.31786; -115.74214
33.38885; -116.11315
32.44901; -116.45653
31.51038; -116.80311
30.57121; -117.14840
29.63502; -117.50142
28.71092; -117.88547
27.77955; -118.25098
26.85529; -118.63476
25.92706; -119.00845
24.99551; -119.37372
24.06060; -119.73041
23.12014; -120.07297
22.18664; -120.43341
21.24830; -120.78146
20.30898; -121.12707
19.37818; -121.49451
18.45038; -121.86964
17.51698; -122.23049
16.58964; -122.60685
15.66293; -122.98483
14.73275; -123.35394
13.78611; -123.68090
12.86403; -124.07073
11.93240; -124.43611
10.99330; -124.78235
10.06141; -125.14702
9.12930; -125.51111
8.20612; -125.89803
7.28020; -126.27789
6.35623; -126.66269
5.42930; -127.03990
4.50474; -127.42309
3.58177; -127.81032
2.66734; -128.21931
1.75591; -128.63594
0.82122; -128.99297
-0.11975; -129.33381
-1.04330; -129.71917
-1.96800; -130.10151
-2.89219; -130.48506
-3.82056; -130.85780
-4.74517; -131.24006
-5.67808; -131.60097
-6.61912; -131.94093
-7.54666; -132.31537
-8.47346; -132.69155
-9.39946; -133.06966
-10.32967; -133.43683
-11.25782; -133.80917
-12.18281; -134.18943
-13.10570; -134.57491
-14.02655; -134.96544
-14.94998; -135.34923
-15.87839; -135.72010
-16.80690; -136.09054
-17.71738; -136.50695
-18.63552; -136.90356
-19.56526; -137.27030
-20.49380; -137.63992
-21.41246; -138.03461
-22.32845; -138.43597
-23.23549; -138.85999
-24.15509; -139.25166
-25.08405; -139.61914
-26.00151; -140.01583
-26.91467; -140.42333
-27.84155; -140.79544
-28.76967; -141.16414
-29.69335; -141.54396
-30.62723; -141.89741
-31.56942; -142.22935
-32.50365; -142.58137
-33.44594; -142.91249
-34.38235; -143.25871
-35.30955; -143.63090
-36.24749; -143.97800
-37.18663; -144.31958
-38.13133; -144.64438
-39.05406; -145.02631
-39.97674; -145.41001
-40.91233; -145.76279
-41.83779; -146.14437
-42.76375; -146.52777
-43.67412; -146.95403
-44.57426; -147.40586
-45.44368; -147.91488
-46.31500; -148.40057
-47.19669; -148.87878
-48.09455; -149.36852
-49.04959; -149.80518
-50.01725; -150.17243
-50.99870; -150.54254
-52.09703; -150.94106
-53.22903; -151.24684
-54.26285; -151.51348
-55.30432; -151.80186
-56.43436; -152.04407
-57.68307; -152.22603
-59.09210; -152.30631
-60.55577; -152.28240
-61.99996; -152.09840
-63.42450; -151.75270
-64.80310; -151.24826
-66.11870; -150.59150
-67.33567; -149.79481
-68.44220; -148.91343
-69.44923; -147.97141
-70.32489; -146.92438
-71.10027; -145.80770
-71.75108; -144.64713
-72.31135; -143.47637
-72.80768; -142.22768
-73.21396; -140.82824
-73.46125; -139.41648
-73.59852; -138.01151
-73.58703; -136.47499
-73.38196; -134.98717
-73.07464; -133.67688
-72.70663; -132.46725
-72.26602; -131.27504
-71.71023; -130.08101
-71.09078; -128.95683
-70.44535; -127.95712
-69.81066; -127.06359
-69.23821; -126.20046
-68.59190; -125.28084
-67.80230; -124.28746
-66.98552; -123.38507
-66.25647; -122.62132
-65.54250; -121.93166
-64.79136; -121.28455
-64.03870; -120.64641
-63.31093; -119.98467
-62.61379; -119.29141
-61.92386; -118.58733
-61.21528; -117.90831
-60.51676; -117.22469
-59.82764; -116.51195
-59.12830; -115.78841
-58.46652; -115.02157
-57.80596; -114.24835
-57.11248; -113.50253
-56.39964; -112.77212
-55.69203; -112.03514
-54.98861; -111.29417
-54.27431; -110.56528
-53.61059; -109.79153
-52.96575; -109.00492
-52.31703; -108.22636
-51.63054; -107.49291
-50.95369; -106.72270
-50.20394; -105.93543
-49.41071; -105.19129
-48.58015; -104.42929
-47.59680; -103.63056
-46.57885; -102.91920
-45.58227; -102.28745
-44.51790; -101.69276
-43.43201; -101.16151
-42.24596; -100.66130
-40.93674; -100.22724
-39.63070; -99.91940
-38.32990; -99.69277
-37.08447; -99.57611
-35.95892; -99.53583
-34.92520; -99.57178
-33.94390; -99.67609
-32.94821; -99.80223
-31.93944; -99.97269
-30.94657; -100.16749
-29.95842; -100.35540
-28.97066; -100.58847
-27.98443; -100.81468
-27.00037; -101.00725
-26.01694; -101.21145
-25.03564; -101.39547
-24.06314; -101.55449
-23.09389; -101.69859
-22.11194; -101.83245
-21.12064; -101.93365
-20.12665; -102.01861
-19.13072; -102.08313
-18.13526; -102.11858
-17.13984; -102.11562
-16.16201; -102.09758
-15.22360; -102.10347
-14.28912; -102.03572
-13.31388; -101.95553
-12.33449; -101.86711
-11.38228; -101.80582
-10.43516; -101.70900
-9.45910; -101.59416
-8.51727; -101.48252
-7.68279; -101.38069
-6.85456; -101.21191
-5.93436; -101.01752
-4.99977; -100.82824
-4.08695; -100.61182
-3.15646; -100.37343
-2.23554; -100.13868
-1.36860; -99.89635
-0.50613; -99.60616
0.41987; -99.31522
1.36968; -99.01598
2.31591; -98.70261
3.26297; -98.38394
4.20723; -98.05467
5.15073; -97.72399
6.10140; -97.41894
7.04865; -97.11015
8.00242; -96.84180
8.92151; -96.56469
9.79065; -96.26250
10.66561; -95.93642
11.58038; -95.58765
12.50901; -95.22629
13.43134; -94.84351
14.36827; -94.49252
15.30805; -94.14748
16.23513; -93.76878
17.16383; -93.39438
18.09457; -93.02531
19.02578; -92.65734
19.96234; -92.30361
20.90704; -91.97166
21.84597; -91.62528
22.78082; -91.27044
23.71612; -90.91730
24.64416; -90.56798
25.55801; -90.23316
26.45738; -89.86092
27.37511; -89.48509
28.29914; -89.10330
29.20778; -88.68222
30.13127; -88.29504
31.06347; -87.92728
32.00057; -87.56671
32.94069; -87.21149
33.88048; -86.86151
34.81114; -86.50108
35.73519; -86.12713
36.63334; -85.77054
37.45946; -85.42405
38.26298; -85.02797
39.11986; -84.63611
39.95141; -84.23566
40.76334; -83.80109
41.60974; -83.33023
42.45265; -82.86772
43.25150; -82.44892
44.01188; -81.95585
44.81709; -81.47920
45.56704; -81.00404
46.29560; -80.49758
47.07291; -79.93037
47.86962; -79.33676
48.65090; -78.77851
49.35990; -78.23556
50.05164; -77.67340
50.77521; -77.04301
51.52411; -76.42195
52.22413; -75.81268
52.89203; -75.16745
