# outer_x; outer_y
127.26713; -52.61513
127.28104; -53.28609
127.26537; -53.80890
127.15377; -54.31187
127.01851; -54.89969
126.77570; -55.50581
126.49276; -56.17335
126.13042; -56.86548
125.72978; -57.54593
125.25467; -58.26132
124.68156; -59.04614
124.13194; -59.89479
123.53072; -60.70266
122.91786; -61.51201
122.29523; -62.32480
121.68385; -63.15296
121.12235; -64.00071
120.53918; -64.81442
119.99288; -65.64691
119.47487; -66.50243
118.94832; -67.36059
118.39102; -68.19584
117.89246; -69.06480
117.36706; -69.91604
116.84291; -70.76571
116.30929; -71.58937
115.79193; -72.39637
115.24353; -73.14983
114.73664; -73.88025
114.19587; -74.56454
113.63808; -75.25207
113.04786; -75.91358
112.51297; -76.48462
112.09688; -76.88557
111.63884; -77.20445
111.02689; -77.60941
110.26232; -78.01929
109.45542; -78.44555
108.69726; -78.86504
107.90918; -79.22565
107.03379; -79.61945
106.12674; -80.00500
105.25548; -80.38331
104.38104; -80.73767
103.46713; -81.08166
102.51849; -81.42282
101.56656; -81.78206
100.61348; -82.12617
99.67958; -82.50004
98.73740; -82.84384
97.80079; -83.19585
96.87223; -83.56388
95.94230; -83.92473
95.01280; -84.28405
94.09031; -84.65970
93.16149; -85.01792
92.21805; -85.33824
91.28835; -85.69592
90.34599; -86.02400
89.41365; -86.37927
88.47327; -86.71521
87.51905; -87.01682
86.57275; -87.33972
85.63763; -87.69221
84.70495; -88.05178
83.76818; -88.40164
82.82195; -88.72798
81.88216; -89.07140
80.94213; -89.41474
79.99667; -89.74456
79.04605; -90.06153
78.09865; -90.38701
77.15341; -90.71818
76.22601; -91.09513
75.29069; -91.45179
74.34201; -91.77430
73.39467; -92.10026
72.45226; -92.43848
71.52532; -92.81588
70.58584; -93.16090
69.63329; -93.47226
68.68101; -93.78409
67.73123; -94.10212
66.79373; -94.45140
65.84952; -94.78333
64.91166; -95.13135
63.96974; -95.46881
63.02703; -95.80408
62.08863; -96.15027
61.15480; -96.50802
60.22757; -96.88257
59.28540; -97.21874
58.33772; -97.54070
57.39301; -97.87020
56.46343; -98.23833
55.54099; -98.62465
54.60712; -98.98169
53.66395; -99.31483
52.71604; -99.63581
51.78906; -100.01035
50.87041; -100.40617
49.93932; -100.77014
49.00649; -101.12965
48.07319; -101.48799
47.14481; -101.85892
46.20871; -102.21009
45.27548; -102.56867
44.35005; -102.94726
43.42211; -103.31947
42.47740; -103.64883
41.53298; -103.97899
40.60150; -104.34237
39.65868; -104.67681
38.72193; -105.02688
37.78133; -105.36722
36.83584; -105.69522
35.89992; -106.04790
34.96691; -106.40811
34.03836; -106.77986
33.09268; -107.10784
32.15508; -107.45664
31.22500; -107.82480
30.29599; -108.19582
29.35615; -108.53919
28.41751; -108.88577
27.47834; -109.23107
26.54215; -109.58409
