# x_m,y_m,w_tr_right_m,w_tr_left_m
72.97965109,31.8222718,3.070408141,3.070866668
73.11967743,32.27970741,3.083775445,3.018209896
73.27857236,32.72718749,3.05402246,3.040119101
73.44707828,33.17547551,3.002849745,3.04021505
73.62515591,33.61981764,3.079550482,3.081683996
73.81326752,34.0734128,3.014462369,3.021764498
74.02727768,34.52370106,3.066656944,3.043125163
74.25205447,34.96688045,3.032309521,3.087107859
74.49298581,35.388938,3.010727228,3.076843579
74.72871536,35.814508,3.079859842,3.029709111
74.99084442,36.2474818,3.089992917,3.047023034
75.28635327,36.68438867,3.012693203,3.013494408
75.59472049,37.11926329,3.099767016,3.085232506
75.92529453,37.54921582,3.095231314,3.068219322
76.26045297,37.97768719,3.022979688,3.038627993
76.59409842,38.41387366,3.074848522,3.023257807
76.94599915,38.84602296,3.005114958,3.09538556
77.29981119,39.27742065,3.083712358,3.065126099
77.66915942,39.71030605,3.047919942,3.095916976
78.06334293,40.13964417,3.014538159,3.077265475
78.46499326,40.57250169,3.031906793,3.071496364
78.87191556,41.01854987,3.08192421,3.067617564
79.30075497,41.45938529,3.095448753,3.009268106
79.76124042,41.89399878,3.091123524,3.06335108
80.20228204,42.34655558,3.062156049,3.069071182
80.65408252,42.79268309,3.091231309,3.037324849
81.1108989,43.24675644,3.087841304,3.050123283
81.59661713,43.70668602,3.048652323,3.063255818
82.08213492,44.18710597,3.050891347,3.062071484
82.57187097,44.64807863,3.023255753,3.077350931
83.05959662,45.10998914,3.008345286,3.089251186
83.51704181,45.57963091,3.073296582,3.088193026
83.99381219,46.04199568,3.067124073,3.002072833
84.47933054,46.50134081,3.0718284,3.016504705
84.95576849,46.96967593,3.073270819,3.066134831
85.4155459,47.44491164,3.074998731,3.010487435
85.8638779,47.93192728,3.07198329,3.050328826
86.29986856,48.42743649,3.068598154,3.080027637
86.71726373,48.92581464,3.072882976,3.006881076
87.12021054,49.4289122,3.033351488,3.045673471
87.51460709,49.94547502,3.061144436,3.012050262
87.891427,50.47219356,3.085625679,3.071605641
88.2697533,51.00603488,3.043836708,3.053167031
88.63032068,51.55267409,3.082696871,3.072571166
88.96039313,52.10306927,3.047995034,3.075059866
89.27183426,52.65756793,3.061729539,3.052369459
89.57681223,53.24664447,3.099772079,3.061189453
89.88683807,53.81617693,3.069267521,3.014732187
90.18006158,54.38626865,3.095229037,3.079022429
90.43939975,54.9656698,3.060505947,3.00704374
90.70227094,55.56313196,3.07495076,3.03095453
90.94640671,56.1634709,3.011427548,3.008720614
91.17391714,56.77997523,3.058085565,3.086332782
91.39836356,57.40601917,3.001138198,3.056166439
91.59245639,58.04063116,3.071426067,3.051122498
91.77855307,58.67176192,3.06342245,3.002785883
91.93426794,59.30270332,3.05321894,3.082035217
92.09119473,59.94933907,3.008286611,3.01903769
92.22296591,60.61224226,3.076152468,3.046181044
92.34907684,61.27065776,3.028368481,3.087872899
92.45414169,61.94293878,3.036326555,3.062910201
92.54458536,62.60563896,3.001292996,3.056027847
92.61946332,63.27409749,3.028931108,3.042411961
92.66735165,63.9474446,3.069976212,3.087698186
92.69930777,64.62021477,3.039727818,3.014888674
92.73351831,65.29232797,3.06025178,3.06183154
92.74564536,65.96835977,3.037777088,3.023509998
92.73784988,66.63822893,3.063157099,3.044329617
92.71036398,67.30523682,3.039848822,3.078491347
92.66321591,67.98300346,3.046897213,3.007680549
92.60653107,68.65838841,3.009378984,3.060377444
92.55172549,69.33798032,3.089006166,3.025936256
92.45352087,70.01166725,3.044392248,3.068749145
92.32056308,70.68652696,3.077017352,3.049286004
92.18866412,71.35587244,3.01172573,3.059301061
92.03334769,72.0269257,3.024822739,3.055295567
91.85772174,72.69719398,3.025285836,3.006643106
91.65444116,73.36572906,3.038835543,3.083316953
91.43950021,74.00315506,3.067167378,3.031659222
91.20515427,74.65689949,3.047228222,3.084232073
90.96033969,75.31817401,3.090397918,3.042741121
90.7050838,75.96162369,3.00880431,3.084671352
90.43512933,76.60804306,3.058906569,3.020768669
90.13747394,77.26069235,3.069738977,3.005800344
89.81190479,77.89303879,3.094141325,3.084284159
89.47395767,78.52219678,3.06011497,3.000062291
89.1233736,79.13598947,3.058838205,3.061373187
88.75162573,79.74105278,3.00095763,3.030062954
88.36951941,80.34262775,3.060200803,3.017775748
87.97802151,80.93810611,3.01768885,3.068879026
87.56959003,81.52892636,3.065763123,3.009638859
87.15027289,82.11048541,3.09959337,3.029212133
86.69091788,82.67688092,3.058659324,3.012732808
86.23052866,83.2158392,3.085365816,3.032369658
85.76555539,83.76829196,3.079397889,3.049445222
85.29466199,84.31110989,3.070865282,3.009190863
84.80718631,84.80348605,3.022766124,3.005482063
84.28291217,85.31033823,3.033990604,3.052878706
83.7472854,85.83193909,3.091404901,3.061148579
83.21439136,86.34287064,3.060883198,3.087542761
82.64996246,86.81549039,3.088310374,3.007696188
82.07777829,87.27125174,3.047828567,3.059783945
81.49888641,87.71614307,3.011061141,3.087238619
80.89123528,88.13723175,3.087771092,3.069334452
80.29597852,88.53785507,3.04192723,3.075774944
79.69218454,88.92453659,3.056999412,3.017619283
79.09030788,89.31328436,3.08374436,3.088303296
78.45385542,89.66394473,3.011972005,3.013219746
77.80715175,90.01992014,3.028198557,3.086885437
77.14765106,90.35586295,3.073366367,3.000713737
76.48758624,90.65732413,3.075772655,3.024478865
75.81236908,90.95164926,3.041496361,3.087352647
75.1279451,91.22450134,3.00044267,3.046597777
74.4386662,91.4826824,3.068241665,3.011094119
73.74632899,91.72077737,3.030256153,3.021603107
73.03732433,91.93625024,3.047285547,3.055936722
72.32240117,92.13493103,3.096445723,3.046499042
71.60521196,92.32074225,3.086156905,3.093784096
70.88735027,92.48954306,3.010742783,3.015180496
70.16438864,92.62490793,3.043450231,3.018021211
69.43497616,92.74449109,3.065043546,3.079611972
68.69228304,92.82953299,3.091329201,3.038860989
67.95566889,92.90437894,3.077010361,3.07581415
67.22609087,92.96796555,3.07785661,3.08367817
66.48813457,93.0088623,3.027778612,3.010795778
65.74899146,93.02431158,3.078337518,3.007636918
65.00880639,93.02264581,3.099951229,3.025742677
64.27012612,92.99878784,3.09996052,3.04764745
63.54245211,92.95053116,3.013890018,3.067324332
62.8073467,92.87860049,3.09101489,3.080486835
62.06429853,92.76469357,3.037794492,3.068225191
61.3325131,92.63814432,3.046597829,3.008192714
60.60731628,92.47689603,3.052167571,3.032566311
59.87559679,92.29483426,3.017891857,3.033662291
59.14031829,92.10911411,3.055999897,3.019464214
58.40840131,91.91817621,3.030967139,3.080214264
57.67506344,91.71328024,3.077612695,3.05758975
56.9442992,91.49696774,3.017421763,3.069132135
56.21459942,91.26982318,3.021342992,3.089211173
55.48605772,91.02821881,3.080362734,3.062989965
54.75960348,90.76169125,3.033833086,3.010417589
54.02471241,90.48492502,3.084090974,3.097601605
53.30834774,90.20181058,3.099291196,3.017787121
52.58910192,89.91402078,3.068684899,3.003275601
51.87076455,89.61562299,3.016891116,3.059357739
51.15156762,89.30871201,3.077744952,3.023263972
50.4327719,89.00964404,3.06270328,3.092442538
49.71588486,88.70284158,3.093323621,3.069679647
48.99419598,88.37950674,3.01283268,3.066615337
48.27835127,88.04529413,3.034537642,3.067752111
47.56749915,87.72518982,3.038497803,3.064545716
46.85126045,87.40503574,3.096168471,3.096082695
46.13556796,87.07976196,3.018973681,3.031790235
45.4261146,86.75697809,3.095571014,3.041022391
44.70850364,86.44183728,3.082585623,3.083726795
43.9807541,86.11907748,3.015556948,3.092350675
43.26478558,85.78482803,3.078266764,3.065915252
42.55388649,85.46357602,3.097309703,3.025095903
41.84213632,85.13036578,3.053076039,3.062976502
41.13189073,84.8044278,3.079779035,3.093925257
40.42547411,84.46593701,3.073039354,3.051663451
39.71642889,84.14029514,3.070737422,3.028098245
39.00727399,83.81317218,3.051952313,3.041320181
38.29722253,83.49882242,3.005235347,3.05483012
37.58596401,83.18649234,3.093356985,3.025102129
36.87619212,82.87439597,3.021675853,3.024025692
36.16619905,82.56510358,3.069894708,3.081736965
35.45305856,82.25394312,3.024467199,3.084051756
34.74229271,81.94990057,3.022472955,3.065788659
34.02563293,81.66293555,3.036259362,3.077086682
33.308765,81.37665225,3.098381121,3.098071568
32.59381832,81.09273856,3.083497425,3.070221753
31.87775555,80.81820343,3.070001179,3.061744124
31.15508254,80.55358881,3.000754314,3.07110249
30.43263072,80.29186526,3.000862154,3.061665838
29.70476806,80.04182651,3.061407982,3.094763472
28.97600957,79.80098892,3.076432179,3.009042198
28.24383166,79.5657197,3.004432346,3.019068448
27.5043983,79.33941214,3.033571168,3.046955314
26.76636158,79.12351889,3.057802117,3.028457661
26.02651274,78.93036844,3.027517408,3.051300082
25.27551379,78.75442627,3.017958818,3.009981547
24.51379709,78.59690277,3.078807194,3.086300147
23.75422619,78.43441519,3.06075199,3.091374506
23.00525217,78.27231717,3.048339991,3.060333339
22.24967498,78.10379913,3.014318066,3.053218423
21.49576429,77.93223419,3.075443141,3.019298564
20.73768941,77.76559204,3.076427937,3.064230656
19.97351298,77.61622217,3.044144975,3.061627542
19.21080959,77.4683688,3.008874435,3.076954653
18.44341425,77.32783408,3.045298234,3.086336009
17.68513341,77.18592581,3.088675938,3.063338648
16.91154656,77.04916376,3.002969461,3.023317276
16.14332494,76.90578885,3.040656224,3.098865812
15.37482955,76.75176682,3.012215453,3.049321864
14.60294528,76.61212729,3.08754834,3.015835894
13.83029125,76.46300958,3.051894296,3.009274292
13.05773099,76.3214725,3.035335905,3.096704543
12.28669107,76.17396008,3.099961345,3.06571289
11.48816799,76.02139963,3.008579882,3.058831623
10.71357999,75.82224493,3.041270547,3.062727924
9.91727135,75.64014978,3.013964364,3.022048153
9.143230887,75.46250565,3.046795095,3.034395185
8.376358935,75.2833356,3.06923122,3.023253929
7.609737338,75.10077255,3.052731719,3.001271015
6.854374808,74.91913364,3.041163802,3.050368823
6.089158911,74.73543301,3.097871694,3.09554063
5.327189736,74.55224641,3.037106128,3.086148438
4.564162453,74.34496178,3.013258071,3.003064688
3.800554555,74.140257,3.038411442,3.028316368
3.034287362,73.9486675,3.047567852,3.09207579
2.267408334,73.74977739,3.071773883,3.088148131
1.501457162,73.54744112,3.005726634,3.036127991
0.74123903,73.33370094,3.087015796,3.004198102
-0.028199874,73.12927773,3.068704493,3.073585009
-0.808811866,72.92996571,3.036211949,3.016959808
-1.583872398,72.73484364,3.048245779,3.075963028
-2.353331916,72.53489708,3.08254131,3.078630208
-3.126624549,72.33718033,3.060360885,3.063650019
-3.901139713,72.1420791,3.029795166,3.063267766
-4.677560809,71.94229889,3.049479764,3.085743236
-5.457281913,71.75443317,3.010756277,3.026547168
-6.240342071,71.57024323,3.093936907,3.066739481
-7.020231693,71.3885181,3.039108112,3.054823614
-7.801444839,71.21479546,3.067850135,3.09246337
-8.582187198,71.04720412,3.076198093,3.074551982
-9.366125663,70.8635789,3.012524831,3.049677308
-10.16020082,70.69519035,3.072081755,3.006624553
-10.95340366,70.55399974,3.000469824,3.032596683
-11.74776024,70.42084384,3.093142362,3.011463173
-12.54453508,70.28707272,3.044035405,3.029530141
-13.34545887,70.15900751,3.063209551,3.012858521
-14.1540056,70.03846182,3.056177552,3.0212387
-14.96340004,69.93273676,3.041527901,3.015676078
-15.77519677,69.83158908,3.073307379,3.010243493
-16.58859027,69.70770294,3.089049349,3.058392244
-17.40861382,69.5968898,3.070266491,3.034686847
-18.23418199,69.49122766,3.003759132,3.060559272
-19.06179997,69.38175626,3.072876515,3.07909697
-19.89351239,69.26687387,3.081587668,3.08947839
-20.72166864,69.15320145,3.085442702,3.066045954
-21.54385428,69.02556204,3.040861348,3.039451146
-22.37127521,68.86954013,3.016278333,3.089385212
-23.20083354,68.73993372,3.007850853,3.07065436
-24.03078938,68.61515451,3.018020728,3.018796896
-24.85161767,68.46651947,3.047598276,3.095602175
-25.65604587,68.30549826,3.051904125,3.029161768
-26.4685562,68.14083603,3.04817452,3.034812511
-27.28605618,67.97697478,3.006046177,3.00924077
-28.06527167,67.80402783,3.037971223,3.099483862
-28.8626751,67.65352097,3.021046244,3.063128813
-29.60771229,67.4561282,3.023381252,3.043614792
-30.36937113,67.2428849,3.065279327,3.050442135
-31.13571107,67.01973575,3.021946191,3.025011261
-31.87752295,66.75250652,3.09665106,3.092972661
-32.61322321,66.50016289,3.059120065,3.066144744
-33.33253349,66.23634409,3.094654604,3.031382493
-34.04902639,65.95894766,3.041052214,3.02211688
-34.73900927,65.6790825,3.044763337,3.091797566
-35.38845249,65.38224931,3.011060629,3.083736428
-36.03042514,65.08190025,3.061197978,3.087688737
-36.6467267,64.76559801,3.056180183,3.047310828
-37.25416121,64.45150195,3.055407897,3.048012698
-37.85726134,64.11876566,3.023637976,3.045613481
-38.41881114,63.76352838,3.073699398,3.027324795
-38.95280336,63.4013427,3.006563487,3.079568711
-39.47553822,63.02271004,3.051974673,3.087243413
-39.97167996,62.64251083,3.092816848,3.083510177
-40.44590951,62.24724551,3.033204082,3.098353242
-40.89624733,61.83681259,3.092689676,3.023333884
-41.32094938,61.42323289,3.085028989,3.020531744
-41.71754916,60.99801657,3.08508785,3.074039831
-42.08686763,60.55858478,3.065676757,3.011351259
-42.43008668,60.10788443,3.072309468,3.001558335
-42.74312569,59.64803519,3.095020567,3.048320634
-43.0377229,59.16831548,3.004545404,3.025314348
-43.30638483,58.69147345,3.019339075,3.056872171
-43.54409582,58.19512155,3.044237749,3.041915278
-43.76051072,57.67819112,3.045872497,3.068495626
-43.95067278,57.15136549,3.048485222,3.098252221
-44.1153572,56.61099683,3.041062742,3.00508296
-44.23913549,56.05525266,3.027805727,3.081577042
-44.33183167,55.49210988,3.015790854,3.042319254
-44.40301365,54.91465231,3.010607933,3.02721624
-44.44442669,54.33779308,3.048748658,3.031784419
-44.45109727,53.79577083,3.056993738,3.009476071
-44.43113468,53.23858127,3.007071377,3.076952848
-44.38150031,52.66899434,3.011063337,3.011446176
-44.30026611,52.08699496,3.089417658,3.074844847
-44.19214019,51.51503493,3.037807109,3.034494293
-44.06073206,50.94276869,3.020806533,3.080532999
-43.91231275,50.38742325,3.00532229,3.021272051
-43.72928954,49.86028279,3.066759962,3.080008702
-43.52579543,49.31439124,3.07738492,3.037430298
-43.29764838,48.76354076,3.017314352,3.028565078
-43.04413321,48.22742585,3.042575499,3.073874366
-42.78126578,47.71627423,3.013900693,3.005763874
-42.48641232,47.20967165,3.01313398,3.096219808
-42.16193343,46.70484813,3.079862551,3.087559996
-41.82540494,46.22362436,3.089043523,3.091138576
-41.47065466,45.74813991,3.061175039,3.05033809
-41.11893031,45.31340906,3.076476688,3.063510416
-40.75088124,44.88615724,3.009182191,3.082111563
-40.35591434,44.48225363,3.035955075,3.061341883
-39.96197125,44.12340668,3.075272547,3.010277389
-39.5492048,43.74393097,3.009150425,3.064522778
-39.12773756,43.37518265,3.050416861,3.025159627
-38.68458521,43.02416882,3.075676732,3.055675577
-38.24070377,42.69743887,3.026928409,3.023191464
-37.80227137,42.38876781,3.049656015,3.029394754
-37.34311308,42.08130058,3.094768583,3.014924755
-36.87806259,41.79635204,3.069309263,3.056288946
-36.39340243,41.5198882,3.089368854,3.065633325
-35.88428976,41.26450009,3.047347578,3.029537701
-35.37830116,41.03252316,3.098999205,3.011395041
-34.85534554,40.79886375,3.018497039,3.064971759
-34.32012184,40.58074365,3.001043938,3.014014565
-33.77740863,40.37599065,3.017986785,3.089273431
-33.21809757,40.20169475,3.004635315,3.044435203
-32.6534803,40.03337509,3.025120697,3.010737909
-32.0789398,39.87279521,3.094861163,3.024048974
-31.50023417,39.73203355,3.099517511,3.081256181
-30.91766654,39.61368471,3.082101198,3.009862274
-30.32720496,39.49758298,3.055988221,3.00356405
-29.72800259,39.37726402,3.090716544,3.089086386
-29.1247369,39.28391208,3.055486563,3.031847018
-28.51374119,39.1999455,3.059046376,3.000636868
-27.89320862,39.12736093,3.089213648,3.069458586
-27.26594726,39.06539706,3.007787371,3.005633369
-26.62764191,39.02164413,3.072784411,3.049432662
-25.98314133,38.98350751,3.05748062,3.016775164
-25.34557029,38.96516048,3.071182793,3.012725934
-24.69144066,38.95542477,3.04019011,3.084997598
-24.03505559,38.9504335,3.070445984,3.045332324
-23.37683317,38.95231892,3.042899008,3.044301733
-22.72044276,38.94775729,3.003354149,3.07410068
-22.056277,38.951498,3.079098205,3.031445655
-21.38560981,38.97328554,3.05480158,3.003369864
-20.7134177,39.01551001,3.036155671,3.077167498
-20.03715221,39.06001744,3.048019598,3.029651309
-19.35743564,39.11652861,3.052613263,3.009419217
-18.67410705,39.18387318,3.021520551,3.046326514
-17.98989561,39.26045619,3.097081441,3.0869815
-17.3034824,39.35511179,3.068671023,3.050934758
-16.61647415,39.47187524,3.01703832,3.024983961
-15.93025028,39.58741976,3.03670258,3.02958721
-15.24047146,39.70334937,3.067848682,3.00083004
-14.54383084,39.82203917,3.042242534,3.050639034
-13.8281282,39.94699974,3.027324619,3.011488618
-13.13129958,40.08192845,3.048337989,3.024339101
-12.43029779,40.23524678,3.062836024,3.063429729
-11.72787417,40.38478223,3.030385441,3.093239964
-11.01638267,40.53993083,3.041434742,3.040702668
-10.29497568,40.70899054,3.092137301,3.012187583
-9.589658003,40.87612387,3.052479595,3.026752664
-8.885991195,41.06158502,3.004562589,3.079182194
-8.179013708,41.2552536,3.008068614,3.006552401
-7.474630602,41.45614322,3.042632306,3.033087973
-6.773428911,41.66199753,3.007539979,3.088331284
-6.081540453,41.87108888,3.022203943,3.012232071
-5.395982153,42.09776863,3.075111893,3.076005822
-4.711867899,42.32252007,3.064368717,3.004556148
-4.033856649,42.55744516,3.060812901,3.074845327
-3.362709268,42.79739761,3.018941241,3.023146956
-2.692078485,43.03460257,3.036657224,3.034930019
-2.033464769,43.28889745,3.050819146,3.064636505
-1.382638757,43.55726021,3.043880339,3.063467027
-0.739738539,43.82568542,3.010717033,3.052396781
-0.106759786,44.07930086,3.075029153,3.076900346
0.51913769,44.35010034,3.021700765,3.097884474
1.141661116,44.61766621,3.051697714,3.025182625
1.756195967,44.87675587,3.034138222,3.051990653
2.365776076,45.1307142,3.057274916,3.018399955
2.967430742,45.39198805,3.096294313,3.025234898
3.564837038,45.67052881,3.089331849,3.008360715
4.151644629,45.94747903,3.081173495,3.070080448
4.731380495,46.23237395,3.001163874,3.033778791
5.309139101,46.52902911,3.084632921,3.082939894
5.874919886,46.82071143,3.042683992,3.058059613
6.427627989,47.1042448,3.046564513,3.084234923
6.972437418,47.40497597,3.048057892,3.091217397
7.518473221,47.6874623,3.014213196,3.001536656
8.048795389,47.9700703,3.043503632,3.074036442
8.584332478,48.25491747,3.095031473,3.021783207
9.11909643,48.52910733,3.080457828,3.067406062
9.657112173,48.8121384,3.029983665,3.024233834
10.20048758,49.09606456,3.041917165,3.046603834
10.73085283,49.3662912,3.072483777,3.045640378
11.26084189,49.62764478,3.073426216,3.010729298
11.78856794,49.89808916,3.070274531,3.092337383
12.31528434,50.16541374,3.029421051,3.069359973
12.84368992,50.43119563,3.085249727,3.096254133
13.37457285,50.68576669,3.03997624,3.027850054
13.91033552,50.92415488,3.070804027,3.013244998
14.45737699,51.17163094,3.086034898,3.016517479
14.99255538,51.42051851,3.093326911,3.06574916
15.52714107,51.66294633,3.088574698,3.034098493
16.06039743,51.89454678,3.08372213,3.059864123
16.58088997,52.12741182,3.031592794,3.097214801
17.12378035,52.34470474,3.055534718,3.03995272
17.66901189,52.57285063,3.037315449,3.026309844
18.21634692,52.78633432,3.014692762,3.057411898
18.76156688,52.98628738,3.010369078,3.03081519
19.31003387,53.1669995,3.087808138,3.033240987
19.87912304,53.36132622,3.040121198,3.071977136
20.44116084,53.55144327,3.058731445,3.058431374
21.00385822,53.73474821,3.080379529,3.01827733
21.56810104,53.88330415,3.099565843,3.046563052
22.13766813,54.0311078,3.008790451,3.040590522
22.7168833,54.18328891,3.093716043,3.08270925
23.29681931,54.31468716,3.079623964,3.026227984
23.87523478,54.43655959,3.058806376,3.057171769
24.4603502,54.55066612,3.022640842,3.041935998
25.04560225,54.65078484,3.061563544,3.002799565
25.62765538,54.75920705,3.097766178,3.093879123
26.23445143,54.84757686,3.023213227,3.078024734
26.82837313,54.92196968,3.050089644,3.086785681
27.42148383,55.00074019,3.018857511,3.088485398
28.01133523,55.07309679,3.089269048,3.024673607
28.59806458,55.1058882,3.054287458,3.097735567
29.18603633,55.15745309,3.013489363,3.043680994
29.782127,55.21356619,3.068010948,3.063717463
30.38505089,55.26751436,3.072629372,3.07796218
30.98453786,55.31147713,3.082536999,3.076314278
31.57430774,55.31836005,3.062943977,3.009230872
32.17604853,55.32880692,3.087110882,3.02217488
