# x_m,y_m,w_tr_right_m,w_tr_left_m
60.53822193,10.46010252,4.034657207,4.062795843
61.1721412,10.74810873,4.075157865,4.064687242
61.80298626,11.02674071,4.053688135,4.032067593
62.40668481,11.30427537,4.018310194,4.025548661
62.99595618,11.58743034,4.003746787,4.01616751
63.57066553,11.87573048,4.048801854,4.097019828
64.11948075,12.1747773,4.005502548,4.089445728
64.6405875,12.48358054,4.092942437,4.031860818
65.14601339,12.80449487,4.001904437,4.068141
65.63650199,13.12755854,4.058007161,4.097427756
66.12230198,13.45854534,4.081069819,4.033250944
66.56047729,13.78960413,4.043240544,4.010585401
66.98225201,14.13427908,4.07017279,4.011044938
67.38916622,14.47113256,4.082591826,4.048610744
67.77397292,14.81902112,4.02968964,4.039021734
68.14389306,15.18280939,4.036070905,4.01498439
68.49988617,15.55089054,4.099074708,4.054794504
68.83215964,15.92466071,4.002736883,4.022375246
69.15238512,16.32040812,4.023668822,4.060852032
69.44895518,16.72503904,4.052457972,4.00669142
69.72092671,17.14002413,4.077198726,4.065847335
69.97127429,17.56259367,4.022540416,4.074629483
70.19784637,17.98012556,4.061309489,4.032731624
70.41144621,18.40354116,4.086683571,4.055194015
70.5959541,18.82473975,4.013776807,4.053513752
70.77981616,19.24165874,4.04234107,4.059133179
70.94748236,19.68650302,4.083140438,4.057712562
71.102855,20.13120308,4.036256941,4.014818494
71.18236559,20.55461589,4.067544318,4.075627961
71.25931746,21.00646354,4.082972994,4.02048868
71.32531491,21.4625161,4.09190406,4.064464419
71.40089005,21.92055435,4.087097934,4.02831534
71.49280014,22.41035957,4.041755518,4.054779632
71.55999951,22.90326529,4.00198112,4.063152701
71.62106061,23.42323271,4.044566222,4.012305954
71.68670148,23.93441508,4.093935058,4.082138482
71.7562168,24.43700719,4.083605529,4.055861232
71.82115948,24.95357251,4.032949787,4.072733058
71.88771854,25.47878391,4.014224682,4.002963721
71.95523874,25.99936939,4.028191335,4.021088528
72.01628415,26.52099654,4.021246532,4.058738347
72.07501691,27.02457463,4.075834801,4.03721797
72.12730423,27.53279835,4.073976701,4.05868138
72.18845419,28.05089905,4.023512953,4.011142001
72.25193192,28.56254927,4.056225423,4.03232939
72.32918866,29.025207,4.04230758,4.039999461
72.41899442,29.50641525,4.087552932,4.019485789
72.51343167,29.98239292,4.039465073,4.093152805
72.6171142,30.45756425,4.048825783,4.096895236
72.73347659,30.91367171,4.046472759,4.078488124
72.84892273,31.36573672,4.081680505,4.011439854
72.97965109,31.8222718,4.070408141,4.070866668
73.11967743,32.27970741,4.083775445,4.018209896
73.27857236,32.72718749,4.05402246,4.040119101
73.44707828,33.17547551,4.002849745,4.04021505
73.62515591,33.61981764,4.079550482,4.081683996
73.81326752,34.0734128,4.014462369,4.021764498
74.02727768,34.52370106,4.066656944,4.043125163
74.25205447,34.96688045,4.032309521,4.087107859
74.49298581,35.388938,4.010727228,4.076843579
74.72871536,35.814508,4.079859842,4.029709111
74.99084442,36.2474818,4.089992917,4.047023034
75.28635327,36.68438867,4.012693203,4.013494408
75.59472049,37.11926329,4.099767016,4.085232506
75.92529453,37.54921582,4.095231314,4.068219322
76.26045297,37.97768719,4.022979688,4.038627993
76.59409842,38.41387366,4.074848522,4.023257807
76.94599915,38.84602296,4.005114958,4.09538556
77.29981119,39.27742065,4.083712358,4.065126099
77.66915942,39.71030605,4.047919942,4.095916976
78.06334293,40.13964417,4.014538159,4.077265475
78.46499326,40.57250169,4.031906793,4.071496364
78.87191556,41.01854987,4.08192421,4.067617564
79.30075497,41.45938529,4.095448753,4.009268106
79.76124042,41.89399878,4.091123524,4.06335108
80.20228204,42.34655558,4.062156049,4.069071182
80.65408252,42.79268309,4.091231309,4.037324849
81.1108989,43.24675644,4.087841304,4.050123283
81.59661713,43.70668602,4.048652323,4.063255818
82.08213492,44.18710597,4.050891347,4.062071484
82.57187097,44.64807863,4.023255753,4.077350931
83.05959662,45.10998914,4.008345286,4.089251186
83.51704181,45.57963091,4.073296582,4.088193026
83.99381219,46.04199568,4.067124073,4.002072833
84.47933054,46.50134081,4.0718284,4.016504705
84.95576849,46.96967593,4.073270819,4.066134831
85.4155459,47.44491164,4.074998731,4.010487435
85.8638779,47.93192728,4.07198329,4.050328826
86.29986856,48.42743649,4.068598154,4.080027637
86.71726373,48.92581464,4.072882976,4.006881076
87.12021054,49.4289122,4.033351488,4.045673471
87.51460709,49.94547502,4.061144436,4.012050262
87.891427,50.47219356,4.085625679,4.071605641
88.2697533,51.00603488,4.043836708,4.053167031
88.63032068,51.55267409,4.082696871,4.072571166
88.96039313,52.10306927,4.047995034,4.075059866
89.27183426,52.65756793,4.061729539,4.052369459
89.57681223,53.24664447,4.099772079,4.061189453
89.88683807,53.81617693,4.069267521,4.014732187
90.18006158,54.38626865,4.095229037,4.079022429
90.43939975,54.9656698,4.060505947,4.00704374
90.70227094,55.56313196,4.07495076,4.03095453
90.94640671,56.1634709,4.011427548,4.008720614
91.17391714,56.77997523,4.058085565,4.086332782
91.39836356,57.40601917,4.001138198,4.056166439
91.59245639,58.04063116,4.071426067,4.051122498
91.77855307,58.67176192,4.06342245,4.002785883
91.93426794,59.30270332,4.05321894,4.082035217
92.09119473,59.94933907,4.008286611,4.01903769
92.22296591,60.61224226,4.076152468,4.046181044
92.34907684,61.27065776,4.028368481,4.087872899
92.45414169,61.94293878,4.036326555,4.062910201
92.54458536,62.60563896,4.001292996,4.056027847
92.61946332,63.27409749,4.028931108,4.042411961
92.66735165,63.9474446,4.069976212,4.087698186
92.69930777,64.62021477,4.039727818,4.014888674
92.73351831,65.29232797,4.06025178,4.06183154
92.74564536,65.96835977,4.037777088,4.023509998
92.73784988,66.63822893,4.063157099,4.044329617
92.71036398,67.30523682,4.039848822,4.078491347
92.66321591,67.98300346,4.046897213,4.007680549
92.60653107,68.65838841,4.009378984,4.060377444
92.55172549,69.33798032,4.089006166,4.025936256
92.45352087,70.01166725,4.044392248,4.068749145
92.32056308,70.68652696,4.077017352,4.049286004
92.18866412,71.35587244,4.01172573,4.059301061
92.03334769,72.0269257,4.024822739,4.055295567
91.85772174,72.69719398,4.025285836,4.006643106
91.65444116,73.36572906,4.038835543,4.083316953
91.43950021,74.00315506,4.067167378,4.031659222
91.20515427,74.65689949,4.047228222,4.084232073
90.96033969,75.31817401,4.090397918,4.042741121
90.7050838,75.96162369,4.00880431,4.084671352
90.43512933,76.60804306,4.058906569,4.020768669
90.13747394,77.26069235,4.069738977,4.005800344
89.81190479,77.89303879,4.094141325,4.084284159
89.47395767,78.52219678,4.06011497,4.000062291
89.1233736,79.13598947,4.058838205,4.061373187
88.75162573,79.74105278,4.00095763,4.030062954
