# x_m,y_m,w_tr_right_m,w_tr_left_m
93.78038269,47.92451502,4.090372056,4.024606957
93.79381037,47.19103149,4.08909225,4.058149125
93.77704676,46.43228422,4.033416305,4.093767688
93.79238256,45.68922676,4.069874583,4.004778729
93.78476257,44.95649017,4.019780983,4.005397766
93.76894725,44.21437719,4.003054095,4.002061803
93.75850021,43.46652171,4.074407426,4.068147851
93.7168191,42.71908226,4.050002244,4.059862853
93.64429698,41.96234556,4.047992214,4.011403003
93.58075251,41.20803691,4.090472224,4.079624535
93.52223765,40.4628616,4.060986665,4.061785059
93.43699127,39.72399671,4.061766639,4.007021352
93.36435872,38.98953926,4.085944231,4.006927897
93.27991969,38.25133933,4.080548942,4.013600739
93.2069666,37.5146461,4.057672152,4.078889132
93.1432958,36.77416617,4.018292247,4.009239846
93.07278844,36.03386326,4.023993201,4.023786879
93.02747437,35.30884677,4.088651193,4.024364791
92.98723338,34.56212688,4.002867415,4.010482221
92.96458344,33.80956643,4.048990139,4.085835276
92.93472763,33.06025612,4.016792715,4.069819977
92.92172623,32.33575193,4.097868065,4.073374213
92.91923335,31.59248319,4.071269447,4.065053062
92.89292084,30.83554207,4.050047162,4.051627057
92.87494258,30.07536308,4.047108837,4.032638814
92.85515002,29.3308866,4.005961887,4.06617762
92.81318293,28.63256649,4.06819719,4.011756548
92.78704651,27.86666578,4.004243114,4.014781741
92.75279551,27.10084476,4.007144546,4.001976466
92.73562826,26.33197545,4.052164984,4.096429173
92.73377813,25.56821722,4.009673003,4.09703729
92.73366038,24.80129347,4.081814855,4.012386051
92.72443207,24.03687431,4.081754709,4.046741003
92.69872604,23.2675662,4.072243959,4.0656694
92.70379115,22.50192843,4.014986544,4.029018557
92.68495458,21.73163935,4.065960525,4.075453664
92.67674576,20.97445408,4.051859494,4.055811805
92.67259771,20.2099633,4.097297455,4.04277926
92.67405029,19.44441299,4.064899149,4.026719406
92.64851751,18.67911228,4.080033058,4.075373607
92.61774465,17.91182899,4.045379771,4.089837633
92.60461619,17.1453772,4.04323915,4.072844403
92.59885778,16.37004254,4.08253138,4.040683013
92.58971771,15.59623976,4.008346981,4.093831584
92.57517278,14.81408296,4.013317101,4.025542745
92.56737869,14.02190435,4.017338861,4.053316324
92.57043157,13.23461593,4.03909378,4.095475487
92.57031331,12.45773788,4.083137974,4.026774754
92.56169429,11.66578913,4.080336439,4.025008462
92.54909017,10.8716648,4.006047118,4.092767272
92.54592931,10.0541539,4.039925777,4.006858235
92.5326447,9.260699346,4.052687583,4.029940039
92.51727498,8.466869768,4.041679947,4.059158353
92.48854701,7.674496734,4.065685989,4.020329915
92.47656301,6.88084033,4.062797336,4.06358832
92.46844935,6.086552213,4.029198408,4.079837026
92.48120351,5.292589331,4.043165117,4.050170105
92.48046733,4.50136166,4.001548713,4.065081214
92.48646495,3.705571496,4.098406372,4.079595499
92.48731756,2.910027221,4.016716841,4.023337377
92.48714157,2.116078253,4.010621634,4.060083894
